,name,gsId,type,gradeRange,enrollment,address,ncesId,lat,lon,gsRating,parentRating
169,Rodriguez Elementary School,8617,public,PK-5,701,"4400 Franklin Park Drive, 
Austin, TX  78744",480894008392,30.200659,-97.74725,2,3
170,Pickle Elementary School,9142,public,PK-5,695,"1101 Wheatley Avenue, 
Austin, TX  78752",480894009078,30.333408,-97.693825,2,3
171,Mcbee Elementary School,9148,public,PK-5,490,"1101 West Braker Lane, 
Austin, TX  78758",480894008939,30.38325,-97.69106,7,3
172,Paredes Middle School,9472,public,6-8,997,"10100 South Mary Moore Searight Drive, 
Austin, TX  78748",480894008938,30.165659,-97.81159,4,3
173,Dessau Middle School,9473,public,6-8,760,"12900 Dessau Road, 
Austin, TX  78754",483483008942,30.397984,-97.64358,3,3
174,International High School,10730,public,9-12,294,"1012 Arthur Stiles Road, 
Austin, TX  78721",480894011057,30.257113,-97.68206,,3
175,Gorzycki Middle School,10746,public,6-8,1341,"7412 West Slaughter Lane, 
Austin, TX  78749",480894011059,30.214663,-97.89199,9,3
176,Blazier Elementary School,10788,public,PK-5,842,"8601 Nuckols Crossing Road, 
Austin, TX  78744",480894011062,30.158,-97.754295,7,3
177,Widen Elementary School,611,public,PK-5,450,"4500 Manchaca Road, 
Austin, TX  78744",480894006213,30.188713,-97.74008,1,2
178,Dailey Middle School,19852,public,6-8,710,"14000 Westall Street, 
Austin, TX  78725",481662012337,30.243408,-97.59058,3,2
179,Joseph Gilbert Elementary School,20411,public,PK-5,680,"5412 Gilbert Road, 
Austin, TX  78724",481662012601,30.258514,-97.59251,4,2
180,Daep- El,18842,public,PK-6,16,"906 West Milton Street, 
Austin, TX  78704",480894006356,30.250395,-97.75945,,1
181,Leadership Academy,616,public,6-12,27,"2515 South Congress Avenue, 
Austin, TX  78704",480894007137,30.235638,-97.75366,,
182,Phoenix Academy,8614,public,6-12,34,"400 West Live Oak Street, 
Austin, TX  78704",480894008389,30.24414,-97.75614,,
183,Joe Lee Johnson Elementary School,9137,public,PK-5,,"2800 Sauls Drive, 
Austin, TX  78728",,30.45655,-97.68175,5,
184,Guerrero Thompson,10789,public,PK-5,673,"102 East Rundberg Lane, 
Austin, TX  78753",480894011063,30.363888,-97.691666,7,
185,Padron Elementary School,10791,public,PK-5,772,"1111 West 6th Street, 
Austin, TX  78703",480894011065,30.272375,-97.756516,7,
186,Austin St Hospital,10849,public,PK-12,19,"1111 West 6th Street, 
Austin, TX  78703",480894005646,30.272375,-97.756516,,
187,Wall Sp Prog,11403,public,K-8,3,"2515 Speedway, 
Austin, TX  78712",483738008476,30.289062,-97.736496,,
188,Travis County State Jail,11475,public,n/a,,"8101 Farm to Market 969, 
Austin, TX  78724",,30.278334,-97.64186,,
189,Travis County Day School,18840,public,6-12,6,"8011 Cameron Road, 
Austin, TX  78754",480894012204,30.335697,-97.68336,,
190,El Daep,18843,public,K-5,5,"13414 Broadmeade Avenue, 
Austin, TX  78729",483808009461,30.470728,-97.78183,,
191,Garcia Ymla,24939,public,6-8,425,"7414 Johnny Morris Road, 
Austin, TX  78724",,30.311398,-97.64303,3,
192,Pearson Ranch Middle,19532,public,6-8,,"8901 Pearson Ranch Road, 
Austin, TX  78717",483808012299,30.496775,-97.75084,,
193,Adult Transition Services,24844,public,12,26,"1020 Walsh Tarlton Lane, 
Austin, TX  78746",,30.272945,-97.802,,
194,Dell Children's Medical Center,24678,public,PK-12,2,"4900 Mueller Boulevard, 
Austin, TX  78723",,30.303455,-97.707344,,
195,Sadler Means Ywla,25080,public,6-8,341,"6401 North Hampton Drive, 
Austin, TX  78723",,30.313578,-97.68073,2,
196,West Cypress Hills Elementary School,25154,public,PK-5,605,"3322 Ranch Road 620 South, 
Austin, TX  78738",,30.327839,-97.96536,9,
0,The Magellan International School,20124,private,PK-8,460,"7938 Great Northern Boulevard, 
Austin, TX  78731",A0990126,30.358206,-97.76095,,5
1,St. Paul Lutheran School,7495,private,PK-8,80,"3407 Red River Street, 
Austin, TX  78705",01326815,30.29324,-97.72531,,5
2,Holy Word Christian Academy,7545,private,K-8,8,"10601 Bluff Bend Drive, 
Austin, TX  78753",01328029,30.3685,-97.675385,,5
3,Maranatha Christian Academy,7749,private,K-10,,"8210 S 1st Street, 
Austin, TX  78748",02062768,30.18099,-97.795044,,5
4,Primavera Montessori School,19817,private,PK-4,130,"6405 Manchaca Rd., 
Austin, TX  78745",,30.207909,-97.804756,,5
5,Parkside Community School,7992,private,PK-6,135,"3702 W. Slaughter Lane , 
Austin, TX  78748",A9504131,30.1856,-97.85356,,5
6,Bais Menachem Hebrew Academy,8068,private,PK-6,,"2127 West Parmer Lane, 
Austin, TX  78727",A9703358,30.41608,-97.69663,,5
7,Paragon Prep School,8076,private,K-8,215,"2001 West Koenig Lane, 
Austin, TX  78756",A9703372,30.333954,-97.73803,,5
8,Huntington-Surrey High School,8367,private,8-12,40,"5206 Balcones Drive, 
Austin, TX  78756",A9106475,30.318382,-97.7376,,5
9,Brentwood Christian School,8479,private,PK-12,756,"11908 N Lamar Blvd, 
Austin, TX  78753",X1328754,30.39087,-97.68241,,5
10,St Francis School,10057,private,PK-8,403,"300 East Huntland Drive, 
Austin, TX  78752",A0503477,30.331245,-97.71006,,5
11,Headwaters School,10669,private,PK-12,542,"801 Rio Grande Street, 
Austin, TX  78701",A0503492,30.27195,-97.74842,,5
12,Griffin School,11581,private,9-12,125,"5001 Evans Ave., 
Austin, TX  78751",A0303144,30.312716,-97.71971,,5
13,TNS Academy,12005,private,K-5,30,"3901 Shoal Creek Blvd., 
Austin, TX  78756",A0790176,30.3098,-97.7483,,5
14,City School,12235,private,PK-6,90,"1844 Teri Rd, 
Austin, TX  78741",A0503465,30.204332,-97.75476,,5
15,Capitol School Of Austin,12241,private,PK-4,40,"2011 West Koenig Lane, 
Austin, TX  78756",A0503376,30.333742,-97.73906,,5
16,Brentwood Christian Secondary School,12499,private,10-12,,"11908 N Lamar Blvd, 
Austin, TX  78753",,30.39087,-97.68241,,5
17,Skybridge Academy,20086,private,6-12,40,"13317 Fitzhugh Rd, 
Austin, TX  78736",,30.231865,-98.001045,,5
18,Bluebonnet Montessori School of Lakeway,16170,private,PK-3,58,"15099 Debba Drive, 
Austin, TX  78734",A0771730,30.373077,-97.93844,,5
19,Southwest Austin Middle School,18787,private,6-8,10,"4021 So. Loop 360, 
Austin, TX  78704",,30.2392,-97.79944,,5
20,Austin Montessori Great Northern Campus,19664,private,PK-3,,"5006 Sunset Trail, 
Austin, TX  78745",A0792064,30.227676,-97.80505,,5
21,The Magnolia School,20137,private,PK-8 & ungraded,15,"2903 Ranch Road 620, 
Austin, TX  78734",,30.38985,-97.938255,,5
22,Clearview Sudbury School,20125,private,K-12,32,"1507 Wilshire Blvd., 
Austin, TX  78722",,30.29586,-97.71111,,5
23,Veritas Academy,20143,private,K-12,500,"4220 Monterey Oaks Blvd., 
Austin, TX  78749",,30.23015,-97.83225,,5
24,St Dominic Savio Catholic High School,20569,private,9-12,371,"9300 Neenah Avenue, 
Austin, TX  78717",A1190093,30.489943,-97.75919,,5
25,The Joule School,20796,private,PK-6,25,"3402 Little Elm Trail, 
Austin, TX  78752",,30.462997,-97.81732,,5
26,International School of Texas,20854,private,PK-6,120,"4402 Hudson Bend Road, 
Austin, TX  78734",,30.403622,-97.92939,,5
27,Mr Darcy's Class,21331,private,1-6,12,"8805 Tara Lane, 
Austin, TX  78737",,30.232285,-97.91796,,5
28,Lake Travis STEM Academy,24753,private,K-12,30,"3315 El Salido Pkwy, 
Austin, TX  78726",,30.360304,-97.69251,,5
29,ACE Academy,11998,private,PK-8,115,"3901 Shoal Creek Boulevard, 
Austin, TX  78756",A0790159,30.308155,-97.74721,,4
30,Cathedral School Of St Mary,7301,private,PK-8,188,"910 San Jacinto Boulevard, 
Austin, TX  78701",01323304,30.270283,-97.73932,,4
31,St Ignatius Martyr School,7302,private,PK-8,237,"120 West Oltorf Street, 
Austin, TX  78704",01323315,30.23927,-97.75429,,4
32,St Austin Catholic School,7303,private,PK-8,220,"1911 San Antonio Street, 
Austin, TX  78705",01323326,30.283016,-97.74282,,4
33,St Louis School,7305,private,PK-8,241,"2114 Saint Joseph Boulevard, 
Austin, TX  78757",01323348,30.35219,-97.733,,4
34,AHB Community School,18793,private,K-8,65,"4001 Speedway Ave, 
Austin, TX  78751",A0903480,30.30318,-97.73161,,4
35,St Stephens Episcopal School,7447,private,6-12,688,"6500 Saint Stephens Drive, 
Austin, TX  78746",01325924,30.331476,-97.815834,,4
36,St. Andrew's Episcopal School,7448,private,K-12,890,"1112 W 31st St, 
Austin, TX  78705",01325935,30.301983,-97.748276,,4
37,Redeemer Lutheran School,7479,private,PK-8,508,"1500 West Anderson Lane, 
Austin, TX  78757",01326553,30.352537,-97.72068,,4
38,Hope Lutheran School,7492,private,K-7,,"6414 N Hampton Dr, 
Austin, TX  78723",01326757,30.31469,-97.6811,,4
39,Renaissance Academy,20704,private,PK-12,187,"14401 Owen-Tech Boulevard, 
Austin, TX  78728",A0903600,30.434893,-97.67047,,4
40,Austin Montessori School,7587,private,PK-9,350,"5006 Sunset Trail, 
Austin, TX  78745",01329215,30.227676,-97.80505,,4
41,Kirby Hall School,7627,private,PK-12,86,"306 W 29th St, 
Austin, TX  78705",01635007,30.294388,-97.74036,,4
42,St. Michael's Catholic Academy,7755,private,9-12,364,"3000 Barton Creek Blvd, 
Austin, TX  78735",02121737,30.2864,-97.8749,,4
43,St. Theresas Catholic School,7771,private,PK-8,390,"4311 Small Drive, 
Austin, TX  78731",02186149,30.342485,-97.77419,,4
44,Bannockburn Christian Academy,7781,private,PK-5,100,"7100 Brodie Ln, 
Austin, TX  78745",A9106430,30.212337,-97.8324,,4
45,The Children's School,7789,private,PK-4,149,"2825 Hancock Drive, 
Austin, TX  78731",A9106444,30.327642,-97.7507,,4
46,Our Savior Lutheran School,7808,private,PK-5,53,"1513 East Yager Lane, 
Austin, TX  78753",A9106495,30.386408,-97.65198,,4
47,Strickland School,7816,private,PK-8,180,"P.O. Box 150413, 
Austin, TX  78715",A9106521,30.447,-97.749,,4
48,Austin Waldorf School,7925,private,K-12,388,"8700 South View Road, 
Austin, TX  78737",A9503923,30.231415,-97.912796,,4
49,Hill Country Christian School,8055,private,PK-12,619,"12124 Ranch Rd 620 N, 
Austin, TX  78750",A9703332,30.461445,-97.81817,,4
50,Austin Jewish Academy,8096,private,K-8,130,"7300 Hart Lane, 
Austin, TX  78731",A9707912,30.357513,-97.75502,,4
51,The Isely School,8109,private,K-3,,"2301 Shoal Creek Boulevard, 
Austin, TX  78705",A9707982,30.2874,-97.7519,,4
52,Hyde Park Baptist Elementary School,8339,private,K-5,,"3901 Speedway, 
Austin, TX  78751",XA000240,30.302164,-97.731804,,4
53,Hyde Park Baptist School,8352,private,K-12,622,"3901 Speedway, 
Austin, TX  78751",YA000240,30.302217,-97.73187,,4
54,Holy Family Catholic School,10514,private,PK-8,560,"9400 Neenah Avenue, 
Austin, TX  78717",A0109405,30.489832,-97.76092,,4
55,Austin Peace Academy,8422,private,PK-12,575,"5110 Manor Road, 
Austin, TX  78723",A9904272,30.299353,-97.686516,,4
56,St. Gabriel's Catholic School,8428,private,PK-8,457,"2500 Wimberly Ln, 
Austin, TX  78735",A9904286,30.292027,-97.8712,,4
57,Austin International School,10049,private,PK-5,199,"4001 Adelphi Lane, 
Austin, TX  78727",A0771724,30.42242,-97.71807,,4
58,Trinity Episcopal School of AU,10662,private,K-8,496,"3901 Bee Cave Road, 
Austin, TX  78746",A0303153,30.2815,-97.8086,,4
59,Regents School Of Austin,11519,private,K-12,1011,"3230 Travis Country Circle, 
Austin, TX  78735",A0109452,30.254488,-97.84532,,4
60,San Juan Diego Catholic High School,11555,private,8-12,152,"800 Herndon Lane, 
Austin, TX  78704",A0303094,30.240438,-97.763725,,4
61,Girls' School Of Austin,11996,private,K-8,150,"2007 McCall Road, 
Austin, TX  78703",A0503406,30.292788,-97.76355,,4
62,Rawson Saunders,12409,private,1-12,175,"2614A Exposition Boulevard, 
Austin, TX  78703",A0702262,30.301817,-97.765114,,4
63,Hyde Park Baptist High School,12476,private,"6, 9-12",550,"11400 North Mopac, 
Austin, TX  78759",,30.40086,-97.730064,,4
64,Cedars Montessori School,13016,private,n/a,,"9704 Circle Drive, 
Austin, TX  78736",A0790163,30.244003,-97.923386,,4
65,Austin Children's Montessori,24327,private,PK-1,40,"8807 Manchaca Road, 
Austin, TX  78748",A0771723,30.18366,-97.817055,,3
66,Shoreline Christian School,11575,private,PK-7,,"15201 Burnet Road, 
Austin, TX  78728",A0303129,30.45918,-97.69389,,3
67,Odyssey School,11858,private,5-12,40,"4407 Red River Street, 
Austin, TX  78751",A0503453,30.304052,-97.71981,,3
68,The Oaks School,7559,private,6-12,,"1407 W Stassney Lane, 
Austin, TX  78745",01328426,30.2121,-97.7908,,2
69,Austin SDA Junior Academy,7598,private,K-10,,"301 W Anderson Ln, 
Austin, TX  78752",01329678,30.344398,-97.70773,,1
70,K12 International Academy,20118,private,K-12,,"1701 N. Congress Avenue, 
Austin, TX  78701",,30.278719,-97.73881,,1
71,Schoolhouse Academy,20136,private,K-2,12,"13740 Research Blvd., 
Austin, TX  78750",,30.45932,-97.794205,,
72,House Sparrows Academy,18785,private,1-3,5,"8432 Jamestown Drive, 
Austin, TX  78758",,30.355415,-97.709785,,
73,Sacred Heart Catholic School,7293,private,PK-6,,"5911 Reicher Drive, 
Austin, TX  78723",01323199,30.303,-97.6774,,
74,Veritas Academy,20730,private,PK-12,,"Po Box 90517, 
Austin, TX  78709",A0990128,30.23,-97.85,,
75,Austin Village Academy,24785,private,K-9,32,"4105 Manchaca Rd., 
Austin, TX  78704",,30.231419,-97.787,,
76,Praise Christian Academy,8424,private,PK-6,,"5800 E Martin Luther King Jr, 
Austin, TX  78721",A9904274,30.2861,-97.6676,,
77,Kamico Academy,10048,private,K-6,,"4413 Spicewood Springs Rd, 
Austin, TX  78759",,30.3727,-97.7586,,
78,Acton Academy,20103,private,2-12,42,"2201 Alexander Avenue, 
Austin, TX  78722",,30.284405,-97.70996,,
79,Jackie's Performing Arts & Private Education,20667,private,PK-5,,"11530 Manchaca Road, 
Austin, TX  78748",A0903533,30.152407,-97.83523,,
80,Greater Calvary Academy,24371,private,K-6,11,"6510 Berkman Drive, 
Austin, TX  78723",A1102167,30.319225,-97.69028,,
81,The Keystone School,20119,private,6-12,,"1701 N. Congress Avenue, 
Austin, TX  78701",,30.278719,-97.73881,,
82,Casner Christian Academy,12290,private,PK-1,84,"3838 Steck Avenue, 
Austin, TX  78759",A0503418,30.373693,-97.75005,,
83,Boys Menachem Hebrew Academy,12308,private,PK-8,,"7010 Village Center Dr, 
Austin, TX  78731",A0503443,30.35242,-97.7568,,
84,Austin City Academy,19663,private,"K-3, 5-10, 12",,"P.O. Box 92737, 
Austin, TX  78709",A0702187,30.2669,-97.7428,,
85,Capitol City Baptist Church,19670,private,K-6,,"1300 Redd St, 
Austin, TX  78745",A9904181,30.224003,-97.78243,,
86,Oakmont School,19725,private,K-12,,"1510 Morrow St, 
Austin, TX  78757",A0702253,30.34799,-97.724556,,
87,Hope Children's Center,24378,private,K,,"11512 Olson Drive, 
Austin, TX  78750",BB122230,30.445484,-97.806114,,
88,International Montessori House,24382,private,PK-1,,"7020 Village Center Drive, 
Austin, TX  78731",BB122205,30.352783,-97.75659,,
89,Primavera Montessori School,24423,private,PK-5,,"1934 Berkeley Avenue, 
Austin, TX  78745",BB122217,30.208569,-97.80367,,
90,Scotish Rite Dyslexia Center,24441,private,5,,"12871 U.S. 183, 
Austin, TX  78750",BB122212,30.436186,-97.77224,,
91,Victory Christian Center School,24472,private,PK-12,,"7625 South Interstate Highway 35, 
Austin, TX  78752",BB122233,30.336903,-97.698166,,
92,Fusion Academy Austin,24777,private,6-12,55,"4701 Bee Caves Road, 
Austin, TX  78746",,30.28804,-97.81678,,
93,Long-View Micro-School,24804,private,2-5,37,"1201 West 24th Street, 
Austin, TX  78705",,30.288166,-97.75077,,
94,Ko School + Incubator,24837,private,6-12,44,"1701 Toomey Road, 
Austin, TX  78704",,30.264433,-97.76164,,
95,AESA Prep Academy,25177,private,4-12,100,"14101 Canonade, 
Austin, TX  78737",,30.199083,-98.00528,,
96,Abrome,25183,private,"K-8, 10-12",5,"10201 Aqua Azul Ct, 
Austin, TX  78733",,30.33515,-97.87648,,
97,Challenger School - Avery Ranch,25196,private,PK-5,,"15101 Avery Ranch Boulevard, 
Austin, TX  78717",,30.497791,-97.773125,,
98,4Points Academy,25212,private,1-9,6,"5145 Ranch Road 620 North, 
Austin, TX  78732",,30.389547,-97.88448,,
99,Emergent Academy,25268,private,"1-5, 7-8",30,"1044 Liberty Park Drive, 
Austin, TX  78746",,30.266872,-97.78992,,
0,University Of Texas Elementary Charter School,10329,charter,PK-5,303,"2200 East 6th Street, 
Austin, TX  78702",480025109530,30.260305,-97.71761,5,5
1,The Real Learning Academy,20396,charter,PK-5,693,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.191423,-97.767136,3,5
2,Kipp Austin Comunidad,20400,charter,PK-4,603,"8509 Farm to Market 969, 
Austin, TX  78724",480026412553,30.27235,-97.638405,4,5
3,IDEA Montopolis Academy,24651,charter,K-5,1374,"1701 Vargas Road, 
Austin, TX  78741",480021112928,30.226158,-97.699524,6,5
4,Eden Park Academy,78,charter,PK-5,458,"6215 Manchaca Road, 
Austin, TX  78745",480004408055,30.209324,-97.80313,6,4
5,Nyos Charter School,93,charter,4-12,603,"12301 North Lamar Boulevard, 
Austin, TX  78753",480005808056,30.402246,-97.67847,8,4
6,Chaparral Star Academy,99,charter,K-12,388,"14046 Summit Drive, 
Austin, TX  78728",480006408059,30.43782,-97.691895,9,4
7,Texas Empowerment Academy,101,charter,3-12,88,"3613 Bluestein Drive, 
Austin, TX  78721",480006608057,30.272999,-97.6724,7,4
8,Travis Heights Elementary School,585,charter,PK-5,495,"2010 Alameda Drive, 
Austin, TX  78704",480894000361,30.24143,-97.74596,6,4
9,Cedars International Academy,9144,charter,PK-7,390,"8416 North Interstate Highway 35, 
Austin, TX  78753",480023209075,30.348295,-97.695366,3,4
10,Nyos - Magnolia Mccullough Campus,9147,charter,PK-3,324,"1605 Kramer Lane, 
Austin, TX  78758",480005809070,30.38466,-97.70277,8,4
11,Kipp Austin College Prep,10705,charter,5-8,431,"9509 Farm to Market 969, 
Austin, TX  78724",480026411055,30.270355,-97.63019,4,4
12,Austin Discovery School,10900,charter,K-8,543,"9303 Farm to Market 969, 
Austin, TX  78724",480026511056,30.267902,-97.63531,4,4
13,Kipp Austin Collegiate,12099,charter,9-12,627,"8509 Farm to Market 969, 
Austin, TX  78724",480026411782,30.27235,-97.638405,7,4
14,Harmony School of Excellence - Austin,19893,charter,K-12,588,"2100 East Saint Elmo Road, 
Austin, TX  78744",480024112424,30.210432,-97.746735,5,4
15,Austin Achieve Public Schools,20403,charter,6-12,671,"5908 Manor Road, 
Austin, TX  78723",,30.307661,-97.680504,4,4
16,KIPP Austin Obras,24676,charter,K-4,473,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.204409,-97.75847,3,4
17,Settlement Home,8495,charter,6-12,35,"1600 Payton Gin Road, 
Austin, TX  78758",480007108383,30.365156,-97.71341,1,3
18,Harmony Science Academy - Austin,9423,charter,PK-12,562,"930 East Rundberg Lane, 
Austin, TX  78753",480024109409,30.357164,-97.684784,5,3
19,Harmony School of Political Science and Communication - Austin,20112,charter,PK-12,906,"13415 North FM 620, 
Austin, TX  78717",480024112787,30.470375,-97.786705,8,3
20,Kipp Austin Academy Of Arts & Lett,19925,charter,5-8,427,"8509 Farm to Market 969, 
Austin, TX  78724",480026412305,30.27235,-97.638405,7,3
21,Texas Empowerment Academy Elementary School,20006,charter,K-2,199,"6414 North Hampton Drive, 
Austin, TX  78723",480006612411,30.314514,-97.68152,4,3
22,The East Austin College Prep Acade,20007,charter,PK-5,219,"6002 Jain Lane, 
Austin, TX  78721",480141412335,30.26109,-97.682686,6,2
23,Harmony School of Science - Austin,20397,charter,K-5,546,"11800 Stonehollow Drive, 
Austin, TX  78758",480024112574,30.400635,-97.70883,4,2
24,The East Austin College Prep At Ml,20402,charter,6-12,574,"5800 East Martin Luther King Junior Boulevard, 
Austin, TX  78721",,30.287785,-97.66676,3,1
25,University High School,25112,charter,9-12,10,"2007 University Avenue, 
Austin, TX  78705",,30.283306,-97.73917,4,
26,George M Kometzky School,9366,charter,K-12,53,"2200 East 6th Street, 
Austin, TX  78702",480007109072,30.260305,-97.71761,1,
27,Magnolia Montessori For All,25022,charter,PK-8,475,"5100 Pecan Brook Drive, 
Austin, TX  78724",,30.317167,-97.65826,3,
28,Tnc Campus (Texas Neurorehabilitat,9929,charter,K-12,73,"1106 West Dittmar Road, 
Austin, TX  78745",480007109408,30.18896,-97.8058,1,
29,Helping Hand,18838,charter,K-7,24,"3804 Avenue B, 
Austin, TX  78751",480007112104,30.302364,-97.73645,,
30,Sci-Tech Preparatory,24673,charter,6-12,431,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.191423,-97.767136,3,
31,Kipp Austin Beacon Prep,20398,charter,5-8,426,"8509 Farm to Market 969, 
Austin, TX  78724",,30.27235,-97.638405,4,
32,Kipp Austin Vista Middle Schools,20399,charter,5-8,431,"8509 Farm to Market 969, 
Austin, TX  78724",,30.27235,-97.638405,4,
33,Kipp Austin Connections Elementary School,20401,charter,PK-4,601,"8509 Farm to Market 969, 
Austin, TX  78724",480026412559,30.27235,-97.638405,3,
34,Premier High School At Travis,20405,charter,9-12,123,"1211 East Oltorf Street, 
Austin, TX  78704",,30.233839,-97.743256,1,
35,Premier High School At Lanier,20406,charter,9-12,124,"1201 Payton Gin Road, 
Austin, TX  78758",,30.360209,-97.70832,1,
36,The Excel Center (For Adults),25102,charter,9-12,147,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,30.339088,-97.69408,,
37,IDEA Montopolis College Preparatory,24649,charter,6-12,1374,"1701 Vargas Road, 
Austin, TX  78741",480021112940,30.226158,-97.699524,7,
38,KIPP Austin Leadership Elementary School,24677,charter,K-4,471,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.204409,-97.75847,3,
39,Athlos Leadership Academy- Austin,24723,charter,PK-9,,"3711 Shoreline Drive, 
Austin, TX  78728",480017912987,30.457558,-97.688,,
40,Harmony School of Innovation,24798,charter,K-5,468,"2124 East Saint Elmo Road, 
Austin, TX  78744",,30.21006,-97.74532,6,
41,Altamira Academy,24802,charter,PK-4,320,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.191423,-97.767136,3,
42,Austin Oaks,24857,charter,K-12,3,"1407 West Stassney Lane, 
Austin, TX  78745",,30.21135,-97.792694,,
43,IDEA Rundberg Academy,24980,charter,K-5,940,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",480021113220,30.360958,-97.687805,6,
44,IDEA Rundberg College Preparatory,24981,charter,6-10,940,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",,30.360958,-97.687805,6,
45,The Excel Center,25244,charter,9-12,282,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,30.339088,-97.69408,,
46,KIPP Austin Brave,25309,charter,9-12,,"8509 Farm to Market 969, 
Austin, TX  78724",,30.27235,-97.638405,,
47,Cedars Academy Next Generation H S at Highland,25310,charter,8-12,,"6700 Middle Fiskville Road, 
Austin, TX  78752",,30.329008,-97.707436,8,
48,Idea Bluff Springs College Preparatory,25331,charter,6-9,,"1700 East Slaughter Lane, 
Austin, TX  78744",480021113523,30.153843,-97.769135,6,
49,Idea Bluff Springs Academy,25437,charter,K-5,,"1700 East Slaughter Lane, 
Austin, TX  78744",480021113510,30.153843,-97.769135,,
50,Excel Center Lockhart,25447,charter,9-12,,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,30.339088,-97.69408,,
51,Kozmetsky At Rathgeber Village,25584,charter,7-12,,"4800 Manor Road, 
Austin, TX  78723",,30.296387,-97.68996,,
