,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
127,2015-2016,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0
128,2015-2016,AUSTIN ISD,Austin St Hospital,19,0,0,19,High,0.0
129,2015-2016,AUSTIN ISD,Rosedale,263,65,2,128,Elementary,0.7604562737642585
0,2016-2017,AUSTIN ISD,Allison Elementary School,460,392,460,332,Elementary,100.0
1,2016-2017,AUSTIN ISD,Andrews Elementary School,572,537,572,495,Elementary,100.0
2,2016-2017,AUSTIN ISD,Barton Hills Elementary School,427,25,0,81,Elementary,0.0
3,2016-2017,AUSTIN ISD,Becker Elementary School,431,166,431,176,Elementary,100.0
4,2016-2017,AUSTIN ISD,Blackshear Elementary School,381,268,381,197,Elementary,100.0
5,2016-2017,AUSTIN ISD,Blanton Elementary School,486,363,486,325,Elementary,100.0
6,2016-2017,AUSTIN ISD,Brentwood Elementary School,644,140,2,192,Elementary,0.3105590062111801
7,2016-2017,AUSTIN ISD,Brooke Elementary School,272,250,272,168,Elementary,100.0
8,2016-2017,AUSTIN ISD,Brown Elementary School,354,306,354,297,Elementary,100.0
9,2016-2017,AUSTIN ISD,Bryker Woods Elementary School,443,43,0,95,Elementary,0.0
10,2016-2017,AUSTIN ISD,Campbelementary Schooll Elementary School,194,171,194,120,Elementary,100.0
11,2016-2017,AUSTIN ISD,Casis Elementary School,817,21,0,85,Elementary,0.0
12,2016-2017,AUSTIN ISD,Cunningham Elementary School,412,233,412,188,Elementary,100.0
13,2016-2017,AUSTIN ISD,Dawson Elementary School,340,272,340,194,Elementary,100.0
14,2016-2017,AUSTIN ISD,Daep- Elementary School,5,5,0,5,Elementary,0.0
15,2016-2017,AUSTIN ISD,Govalle Elementary School,470,415,470,329,Elementary,100.0
16,2016-2017,AUSTIN ISD,Gullett Elementary School,554,49,2,58,Elementary,0.36101083032490977
17,2016-2017,AUSTIN ISD,Harris Elementary School,615,586,615,509,Elementary,100.0
18,2016-2017,AUSTIN ISD,Highland Park Elementary School,652,29,0,94,Elementary,0.0
19,2016-2017,AUSTIN ISD,Joslin Elementary School,261,174,261,130,Elementary,100.0
20,2016-2017,AUSTIN ISD,Lee Elementary School,402,62,2,99,Elementary,0.4975124378109453
21,2016-2017,AUSTIN ISD,Maplewood Elementary School,498,201,9,186,Elementary,1.8072289156626506
22,2016-2017,AUSTIN ISD,Mathews Elementary School,442,126,442,151,Elementary,100.0
23,2016-2017,AUSTIN ISD,Metz Elementary School,305,251,305,221,Elementary,100.0
24,2016-2017,AUSTIN ISD,Oak Springs Elementary School,324,298,324,198,Elementary,100.0
25,2016-2017,AUSTIN ISD,Ortega Elementary School,306,256,306,181,Elementary,100.0
26,2016-2017,AUSTIN ISD,Sanchez Elementary School,353,331,353,290,Elementary,100.0
27,2016-2017,AUSTIN ISD,Pease Elementary School,242,39,2,48,Elementary,0.8264462809917356
28,2016-2017,AUSTIN ISD,Pecan Springs Elementary School,470,420,470,318,Elementary,100.0
29,2016-2017,AUSTIN ISD,Pleasant Hill Elementary School,502,410,502,336,Elementary,100.0
30,2016-2017,AUSTIN ISD,Read Pre-K Center,320,243,0,215,Other,0.0
31,2016-2017,AUSTIN ISD,Reilly Elementary School,268,186,268,230,Elementary,100.0
32,2016-2017,AUSTIN ISD,Ridgetop Elementary School,331,112,331,151,Elementary,100.0
33,2016-2017,AUSTIN ISD,St Elementary Schoolmo Elementary School,284,223,284,181,Elementary,100.0
34,2016-2017,AUSTIN ISD,Summitt Elementary School,833,253,5,370,Elementary,0.6002400960384153
35,2016-2017,AUSTIN ISD,Sims Elementary School,232,214,232,139,Elementary,100.0
36,2016-2017,AUSTIN ISD,Travis Hts Elementary School,548,347,548,290,Elementary,100.0
37,2016-2017,AUSTIN ISD,Walnut Creek Elementary School,605,501,605,513,Elementary,100.0
38,2016-2017,AUSTIN ISD,Patton Elementary School,982,196,2,288,Elementary,0.20366598778004075
39,2016-2017,AUSTIN ISD,Wooten Elementary School,568,475,568,489,Elementary,100.0
40,2016-2017,AUSTIN ISD,Zavala Elementary School,357,297,357,214,Elementary,100.0
41,2016-2017,AUSTIN ISD,Zilker Elementary School,562,114,0,110,Elementary,0.0
42,2016-2017,AUSTIN ISD,Menchaca Elementary School,740,290,740,340,Elementary,100.0
43,2016-2017,AUSTIN ISD,Oak Hill Elementary School,832,298,832,402,Elementary,100.0
44,2016-2017,AUSTIN ISD,Barrington Elementary School,542,420,542,446,Elementary,100.0
45,2016-2017,AUSTIN ISD,Norman Elementary School,263,244,263,169,Elementary,100.0
46,2016-2017,AUSTIN ISD,Pillow Elementary School,509,365,509,329,Elementary,100.0
47,2016-2017,AUSTIN ISD,Wooldridge Elementary School,612,568,612,508,Elementary,100.0
48,2016-2017,AUSTIN ISD,Doss Elementary School,882,128,2,204,Elementary,0.22675736961451248
49,2016-2017,AUSTIN ISD,Hill Elementary School,939,71,5,183,Elementary,0.5324813631522897
50,2016-2017,AUSTIN ISD,Odom Elementary School,509,437,509,343,Elementary,100.0
51,2016-2017,AUSTIN ISD,Winn Elementary School,241,205,241,199,Elementary,100.0
52,2016-2017,AUSTIN ISD,Sunset Valley Elementary School,533,269,533,309,Elementary,100.0
53,2016-2017,AUSTIN ISD,Graham Elementary School,686,575,686,523,Elementary,100.0
54,2016-2017,AUSTIN ISD,Linder Elementary School,320,296,320,245,Elementary,100.0
55,2016-2017,AUSTIN ISD,Cook Elementary School,521,492,521,446,Elementary,100.0
56,2016-2017,AUSTIN ISD,Houston Elementary School,680,565,680,532,Elementary,100.0
57,2016-2017,AUSTIN ISD,Hart Elementary School,700,672,700,631,Elementary,100.0
58,2016-2017,AUSTIN ISD,Pickle Elementary School,638,577,638,570,Elementary,100.0
59,2016-2017,AUSTIN ISD,Mcbee Elementary School,450,424,450,397,Elementary,100.0
60,2016-2017,AUSTIN ISD,Williams Elementary School,458,355,458,255,Elementary,100.0
61,2016-2017,AUSTIN ISD,Langford Elementary School,619,581,619,520,Elementary,100.0
62,2016-2017,AUSTIN ISD,Boone Elementary School,568,225,568,186,Elementary,100.0
63,2016-2017,AUSTIN ISD,Palm Elementary School,470,378,470,306,Elementary,100.0
64,2016-2017,AUSTIN ISD,Kocurek Elementary School,539,334,539,244,Elementary,100.0
65,2016-2017,AUSTIN ISD,Casey Elementary School,633,377,633,275,Elementary,100.0
66,2016-2017,AUSTIN ISD,Rodriguez Elementary School,591,563,591,446,Elementary,100.0
67,2016-2017,AUSTIN ISD,Widen Elementary School,558,479,558,418,Elementary,100.0
68,2016-2017,AUSTIN ISD,Galindo Elementary School,590,500,590,436,Elementary,100.0
69,2016-2017,AUSTIN ISD,Uphaus Early Childhood Center,299,249,299,207,Elementary,100.0
70,2016-2017,AUSTIN ISD,Jordan Elementary School,712,626,712,577,Elementary,100.0
71,2016-2017,AUSTIN ISD,Davis Elementary School,815,172,2,303,Elementary,0.24539877300613497
72,2016-2017,AUSTIN ISD,Kiker Elementary School,1049,28,0,192,Elementary,0.0
73,2016-2017,AUSTIN ISD,Mills Elementary School,843,61,0,158,Elementary,0.0
74,2016-2017,AUSTIN ISD,Baranoff Elementary School,1020,118,2,222,Elementary,0.19607843137254902
75,2016-2017,AUSTIN ISD,Cowan Elementary School,839,246,268,246,Elementary,31.942789034564957
76,2016-2017,AUSTIN ISD,Clayton Elementary School,855,10,0,134,Elementary,0.0
77,2016-2017,AUSTIN ISD,Blazier Elementary School,813,572,813,454,Elementary,100.0
78,2016-2017,AUSTIN ISD,Guerrero Thompson,667,545,667,601,Middle,100.0
79,2016-2017,AUSTIN ISD,Baldwin Elementary School,794,88,0,183,Elementary,0.0
80,2016-2017,AUSTIN ISD,Padron Elementary School,797,647,797,701,Elementary,100.0
81,2016-2017,AUSTIN ISD,Overton Elementary School,667,566,667,543,Elementary,100.0
82,2016-2017,AUSTIN ISD,Perez Elementary School,723,590,723,506,Elementary,100.0
83,2016-2017,AUSTIN ISD,Dobie Pk Center,208,190,2,154,Other,0.9615384615384616
84,2016-2017,AUSTIN ISD,Webb Pri Center,262,252,262,237,Elementary,100.0
85,2016-2017,AUSTIN ISD,Austin Isd Child Develementary Schoolopment Cente,78,73,0,5,Elementary,0.0
86,2016-2017,AUSTIN ISD,Alternative Learning Center,107,74,2,107,High,1.8691588785046729
87,2016-2017,AUSTIN ISD,Travis County Day School,11,6,0,11,High,0.0
88,2016-2017,AUSTIN ISD,Richards Sch For Young Women Leade,785,436,8,127,High,1.019108280254777
89,2016-2017,AUSTIN ISD,Travis County Juvenile Detention C,44,23,0,44,Other,0.0
90,2016-2017,AUSTIN ISD,Phoenix Academy,34,5,0,34,High,0.0
91,2016-2017,AUSTIN ISD,Leadership Academy,40,24,0,40,High,0.0
92,2016-2017,AUSTIN ISD,Travis County J J A E P,5,2,0,5,Other,0.0
93,2016-2017,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0
94,2016-2017,AUSTIN ISD,Austin St Hospital,23,0,0,23,High,0.0
95,2016-2017,AUSTIN ISD,Rosedale,210,77,0,122,Elementary,0.0
96,2016-2017,AUSTIN ISD,Austin High School,2145,598,10,831,High,0.4662004662004662
97,2016-2017,AUSTIN ISD,Lanier High School,1659,1391,1659,1310,High,100.0
98,2016-2017,AUSTIN ISD,Mccallum High School,1759,468,26,707,High,1.4781125639567936
99,2016-2017,AUSTIN ISD,Reagan High School,1255,1019,1255,950,High,100.0
100,2016-2017,AUSTIN ISD,Travis High School,1332,1029,1332,1017,High,100.0
101,2016-2017,AUSTIN ISD,Crockett High School,1515,940,31,951,High,2.046204620462046
102,2016-2017,AUSTIN ISD,Anderson High School,2217,501,11,714,High,0.4961659900766802
103,2016-2017,AUSTIN ISD,Bowie High School,2894,345,11,715,High,0.38009675190048375
104,2016-2017,AUSTIN ISD,Lbj Highigh Schoolchool,804,624,804,537,High,100.0
105,2016-2017,AUSTIN ISD,Garza Independence High School,205,69,11,171,High,5.365853658536586
106,2016-2017,AUSTIN ISD,Akins High School,2680,1673,29,1590,High,1.0820895522388059
107,2016-2017,AUSTIN ISD,Lasa High School,1111,78,0,24,High,0.0
108,2016-2017,AUSTIN ISD,Eastside Memorial At The Johnston,553,471,553,451,High,100.0
109,2016-2017,AUSTIN ISD,Graduation Prep Academy Travis,157,131,17,155,Other,10.828025477707007
110,2016-2017,AUSTIN ISD,Graduation Prep Academy Lanier,122,91,7,121,Other,5.737704918032787
111,2016-2017,AUSTIN ISD,International High School,261,250,18,220,High,6.896551724137931
112,2016-2017,AUSTIN ISD,Fulmore Middle School,1024,632,1024,534,Middle,100.0
113,2016-2017,AUSTIN ISD,Kealing Middle School,1224,326,1224,257,Middle,100.0
114,2016-2017,AUSTIN ISD,Lamar Middle School,1015,252,9,315,Middle,0.8866995073891626
115,2016-2017,AUSTIN ISD,Burnet Middle School,1040,939,1040,874,Middle,100.0
116,2016-2017,AUSTIN ISD,O Henry Middle,867,230,2,291,Middle,0.2306805074971165
117,2016-2017,AUSTIN ISD,Martin Middle,432,408,432,345,Middle,100.0
118,2016-2017,AUSTIN ISD,Murchison Middle,1328,296,0,440,Middle,0.0
119,2016-2017,AUSTIN ISD,Webb Middle School,677,631,677,553,Middle,100.0
120,2016-2017,AUSTIN ISD,Bedichek Middle,883,725,883,614,Middle,100.0
121,2016-2017,AUSTIN ISD,Dobie Middle,598,540,598,503,Middle,100.0
122,2016-2017,AUSTIN ISD,Covington Middle,615,386,7,344,Middle,1.1382113821138211
123,2016-2017,AUSTIN ISD,Mendez Middle School,711,660,711,597,Middle,100.0
124,2016-2017,AUSTIN ISD,Bailey Middle School,899,272,8,302,Middle,0.8898776418242491
125,2016-2017,AUSTIN ISD,Small Middle School,1179,322,5,425,Middle,0.42408821034775235
126,2016-2017,AUSTIN ISD,Paredes Middle School,957,698,957,604,Middle,100.0
127,2016-2017,AUSTIN ISD,Gorzycki Middle,1279,58,2,186,Middle,0.1563721657544957
128,2016-2017,AUSTIN ISD,Garcia Ymla,421,396,421,344,Other,100.0
129,2016-2017,AUSTIN ISD,Sadler Means Ywla,399,361,399,312,Middle,100.0
0,2017-2018,AUSTIN ISD,Allison Elementary School,479,458,479,362,Elementary,100.0
1,2017-2018,AUSTIN ISD,Andrews Elementary School,504,470,504,439,Elementary,100.0
2,2017-2018,AUSTIN ISD,Barton Hills Elementary School,455,41,2,91,Elementary,0.43956043956043955
3,2017-2018,AUSTIN ISD,Becker Elementary School,437,139,437,169,Elementary,100.0
4,2017-2018,AUSTIN ISD,Blackshear Elementary School,378,251,378,179,Elementary,100.0
5,2017-2018,AUSTIN ISD,Blanton Elementary School,516,357,516,305,Elementary,100.0
6,2017-2018,AUSTIN ISD,Brentwood Elementary School,675,131,2,171,Elementary,0.2962962962962963
7,2017-2018,AUSTIN ISD,Brooke Elementary School,246,240,246,166,Elementary,100.0
8,2017-2018,AUSTIN ISD,Brown Elementary School,272,269,272,229,Elementary,100.0
9,2017-2018,AUSTIN ISD,Bryker Woods Elementary School,458,36,0,91,Elementary,0.0
10,2017-2018,AUSTIN ISD,Campbelementary Schooll Elementary School,187,167,187,118,Elementary,100.0
11,2017-2018,AUSTIN ISD,Casis Elementary School,765,20,2,87,Elementary,0.26143790849673204
12,2017-2018,AUSTIN ISD,Cunningham Elementary School,394,236,394,194,Elementary,100.0
13,2017-2018,AUSTIN ISD,Dawson Elementary School,352,258,352,193,Elementary,100.0
14,2017-2018,AUSTIN ISD,Daep- Elementary School,7,6,0,6,Elementary,0.0
15,2017-2018,AUSTIN ISD,Govalle Elementary School,408,388,408,314,Elementary,100.0
16,2017-2018,AUSTIN ISD,Gullett Elementary School,569,37,0,65,Elementary,0.0
17,2017-2018,AUSTIN ISD,Harris Elementary School,630,614,630,499,Elementary,100.0
18,2017-2018,AUSTIN ISD,Highland Park Elementary School,641,36,2,87,Elementary,0.31201248049922
19,2017-2018,AUSTIN ISD,Joslin Elementary School,282,193,282,154,Elementary,100.0
20,2017-2018,AUSTIN ISD,Lee Elementary School,443,65,0,108,Elementary,0.0
21,2017-2018,AUSTIN ISD,Maplewood Elementary School,485,182,17,189,Elementary,3.5051546391752577
22,2017-2018,AUSTIN ISD,Mathews Elementary School,437,135,437,148,Elementary,100.0
23,2017-2018,AUSTIN ISD,Metz Elementary School,285,253,285,203,Elementary,100.0
24,2017-2018,AUSTIN ISD,Oak Springs Elementary School,322,319,322,174,Elementary,100.0
25,2017-2018,AUSTIN ISD,Ortega Elementary School,276,244,276,169,Elementary,100.0
26,2017-2018,AUSTIN ISD,Sanchez Elementary School,258,254,258,220,Elementary,100.0
27,2017-2018,AUSTIN ISD,Pease Elementary School,233,36,2,48,Elementary,0.8583690987124464
28,2017-2018,AUSTIN ISD,Pecan Springs Elementary School,454,439,454,305,Elementary,100.0
29,2017-2018,AUSTIN ISD,Pleasant Hill Elementary School,465,420,465,297,Elementary,100.0
30,2017-2018,AUSTIN ISD,Read Pre-K Center,304,270,2,227,Other,0.6578947368421053
31,2017-2018,AUSTIN ISD,Reilly Elementary School,238,181,238,188,Elementary,100.0
32,2017-2018,AUSTIN ISD,Ridgetop Elementary School,371,116,371,148,Elementary,100.0
33,2017-2018,AUSTIN ISD,St Elementary Schoolmo Elementary School,297,246,297,195,Elementary,100.0
34,2017-2018,AUSTIN ISD,Summitt Elementary School,844,249,7,380,Elementary,0.8293838862559242
35,2017-2018,AUSTIN ISD,Sims Elementary School,204,197,204,122,Elementary,100.0
36,2017-2018,AUSTIN ISD,Travis Hts Elementary School,518,328,518,274,Elementary,100.0
37,2017-2018,AUSTIN ISD,Walnut Creek Elementary School,642,606,642,555,Elementary,100.0
38,2017-2018,AUSTIN ISD,Patton Elementary School,984,215,2,354,Elementary,0.2032520325203252
39,2017-2018,AUSTIN ISD,Wooten Elementary School,503,464,503,445,Elementary,100.0
40,2017-2018,AUSTIN ISD,Zavala Elementary School,298,286,298,177,Elementary,100.0
41,2017-2018,AUSTIN ISD,Zilker Elementary School,550,106,15,145,Elementary,2.727272727272727
42,2017-2018,AUSTIN ISD,Menchaca Elementary School,717,302,717,315,Elementary,100.0
43,2017-2018,AUSTIN ISD,Oak Hill Elementary School,868,339,868,408,Elementary,100.0
44,2017-2018,AUSTIN ISD,Barrington Elementary School,547,536,547,461,Elementary,100.0
45,2017-2018,AUSTIN ISD,Norman Elementary School,192,187,192,112,Elementary,100.0
46,2017-2018,AUSTIN ISD,Pillow Elementary School,519,385,519,342,Elementary,100.0
47,2017-2018,AUSTIN ISD,Wooldridge Elementary School,532,506,532,443,Elementary,100.0
48,2017-2018,AUSTIN ISD,Doss Elementary School,835,126,5,212,Elementary,0.5988023952095808
49,2017-2018,AUSTIN ISD,Hill Elementary School,954,66,2,209,Elementary,0.20964360587002095
50,2017-2018,AUSTIN ISD,Odom Elementary School,463,400,463,319,Elementary,100.0
51,2017-2018,AUSTIN ISD,Winn Elementary School,259,218,259,179,Elementary,100.0
52,2017-2018,AUSTIN ISD,Sunset Valley Elementary School,543,271,543,288,Elementary,100.0
53,2017-2018,AUSTIN ISD,Graham Elementary School,610,507,610,461,Elementary,100.0
54,2017-2018,AUSTIN ISD,Linder Elementary School,306,287,306,225,Elementary,100.0
55,2017-2018,AUSTIN ISD,Cook Elementary School,453,420,453,390,Elementary,100.0
56,2017-2018,AUSTIN ISD,Houston Elementary School,642,600,642,496,Elementary,100.0
57,2017-2018,AUSTIN ISD,Hart Elementary School,682,640,682,620,Elementary,100.0
58,2017-2018,AUSTIN ISD,Pickle Elementary School,544,529,544,495,Elementary,100.0
59,2017-2018,AUSTIN ISD,Mcbee Elementary School,395,373,395,344,Elementary,100.0
60,2017-2018,AUSTIN ISD,Williams Elementary School,466,362,466,257,Elementary,100.0
61,2017-2018,AUSTIN ISD,Langford Elementary School,540,505,540,436,Elementary,100.0
62,2017-2018,AUSTIN ISD,Boone Elementary School,535,225,535,194,Elementary,100.0
63,2017-2018,AUSTIN ISD,Palm Elementary School,449,386,449,292,Elementary,100.0
64,2017-2018,AUSTIN ISD,Kocurek Elementary School,578,384,578,272,Elementary,100.0
65,2017-2018,AUSTIN ISD,Casey Elementary School,616,370,616,302,Elementary,100.0
66,2017-2018,AUSTIN ISD,Rodriguez Elementary School,503,485,503,405,Elementary,100.0
67,2017-2018,AUSTIN ISD,Widen Elementary School,522,478,522,408,Elementary,100.0
68,2017-2018,AUSTIN ISD,Galindo Elementary School,586,528,586,435,Elementary,100.0
69,2017-2018,AUSTIN ISD,Uphaus Early Childhood Center,340,306,340,231,Elementary,100.0
70,2017-2018,AUSTIN ISD,Jordan Elementary School,662,620,662,549,Elementary,100.0
71,2017-2018,AUSTIN ISD,Davis Elementary School,807,186,6,310,Elementary,0.7434944237918215
72,2017-2018,AUSTIN ISD,Kiker Elementary School,1111,29,2,219,Elementary,0.18001800180018002
73,2017-2018,AUSTIN ISD,Mills Elementary School,854,50,0,167,Elementary,0.0
74,2017-2018,AUSTIN ISD,Baranoff Elementary School,1014,118,7,235,Elementary,0.6903353057199211
75,2017-2018,AUSTIN ISD,Cowan Elementary School,841,257,19,268,Elementary,2.2592152199762188
76,2017-2018,AUSTIN ISD,Clayton Elementary School,838,12,0,134,Elementary,0.0
77,2017-2018,AUSTIN ISD,Blazier Elementary School,860,577,860,490,Elementary,100.0
78,2017-2018,AUSTIN ISD,Guerrero Thompson,633,618,633,575,Middle,100.0
79,2017-2018,AUSTIN ISD,Baldwin Elementary School,810,106,2,211,Elementary,0.24691358024691357
80,2017-2018,AUSTIN ISD,Padron Elementary School,759,718,759,691,Elementary,100.0
81,2017-2018,AUSTIN ISD,Overton Elementary School,559,519,559,456,Elementary,100.0
82,2017-2018,AUSTIN ISD,Perez Elementary School,650,581,650,467,Elementary,100.0
83,2017-2018,AUSTIN ISD,Dobie Pk Center,209,199,2,163,Other,0.9569377990430622
84,2017-2018,AUSTIN ISD,Webb Pri Center,246,227,246,210,Elementary,100.0
85,2017-2018,AUSTIN ISD,Austin Isd Child Develementary Schoolopment Cente,170,170,2,59,Elementary,1.1764705882352942
86,2017-2018,AUSTIN ISD,Alternative Learning Center,101,82,2,95,High,1.9801980198019802
87,2017-2018,AUSTIN ISD,Travis County Day School,8,5,0,8,High,0.0
88,2017-2018,AUSTIN ISD,Richards Sch For Young Women Leade,827,445,7,137,High,0.8464328899637243
89,2017-2018,AUSTIN ISD,Travis County Juvenile Detention C,35,15,0,35,Other,0.0
90,2017-2018,AUSTIN ISD,Phoenix Academy,19,2,0,19,High,0.0
91,2017-2018,AUSTIN ISD,Leadership Academy,16,2,0,16,High,0.0
92,2017-2018,AUSTIN ISD,Travis County J J A E P,2,2,0,2,Other,0.0
93,2017-2018,AUSTIN ISD,Austin St Hospital,16,2,0,16,High,0.0
94,2017-2018,AUSTIN ISD,Rosedale,232,73,2,126,Elementary,0.8620689655172413
95,2017-2018,AUSTIN ISD,Austin High School,2267,544,22,810,High,0.9704455227172475
96,2017-2018,AUSTIN ISD,Lanier High School,1586,1322,1586,1227,High,100.0
97,2017-2018,AUSTIN ISD,Mccallum High School,1761,387,9,575,High,0.5110732538330494
98,2017-2018,AUSTIN ISD,Reagan High School,1252,1051,1252,931,High,100.0
99,2017-2018,AUSTIN ISD,Travis High School,1233,954,1233,878,High,100.0
100,2017-2018,AUSTIN ISD,Crockett High School,1466,897,45,846,High,3.069577080491132
101,2017-2018,AUSTIN ISD,Anderson High School,2222,493,24,732,High,1.08010801080108
102,2017-2018,AUSTIN ISD,Bowie High School,2880,301,13,636,High,0.4513888888888889
103,2017-2018,AUSTIN ISD,Lbj Highigh Schoolchool,799,596,799,538,High,100.0
104,2017-2018,AUSTIN ISD,Garza Independence High School,169,56,9,138,High,5.325443786982248
105,2017-2018,AUSTIN ISD,Akins High School,2765,1691,44,1621,High,1.5913200723327305
106,2017-2018,AUSTIN ISD,Lasa High School,1186,98,2,29,High,0.16863406408094436
107,2017-2018,AUSTIN ISD,Eastside Memorial At The Johnston,491,436,491,384,High,100.0
108,2017-2018,AUSTIN ISD,Graduation Prep Academy Travis,164,121,2,159,Other,1.2195121951219512
109,2017-2018,AUSTIN ISD,Graduation Prep Academy Lanier,77,49,5,75,Other,6.4935064935064934
110,2017-2018,AUSTIN ISD,International High School,191,185,25,184,High,13.089005235602095
111,2017-2018,AUSTIN ISD,Fulmore Middle School,998,641,998,530,Middle,100.0
112,2017-2018,AUSTIN ISD,Kealing Middle School,1223,381,1223,261,Middle,100.0
113,2017-2018,AUSTIN ISD,Lamar Middle School,1130,234,12,351,Middle,1.0619469026548674
114,2017-2018,AUSTIN ISD,Burnet Middle School,967,873,967,803,Middle,100.0
115,2017-2018,AUSTIN ISD,O Henry Middle,862,248,18,316,Middle,2.0881670533642693
116,2017-2018,AUSTIN ISD,Martin Middle,450,419,450,366,Middle,100.0
117,2017-2018,AUSTIN ISD,Murchison Middle,1392,298,10,464,Middle,0.7183908045977011
118,2017-2018,AUSTIN ISD,Webb Middle School,664,623,664,542,Middle,100.0
119,2017-2018,AUSTIN ISD,Bedichek Middle,846,718,846,571,Middle,100.0
120,2017-2018,AUSTIN ISD,Dobie Middle,579,534,579,465,Middle,100.0
121,2017-2018,AUSTIN ISD,Covington Middle,660,389,165,368,Middle,25.0
122,2017-2018,AUSTIN ISD,Mendez Middle School,646,583,646,554,Middle,100.0
123,2017-2018,AUSTIN ISD,Bailey Middle School,1006,316,9,404,Middle,0.8946322067594433
124,2017-2018,AUSTIN ISD,Small Middle School,1231,316,14,443,Middle,1.1372867587327375
125,2017-2018,AUSTIN ISD,Paredes Middle School,892,653,892,586,Middle,100.0
126,2017-2018,AUSTIN ISD,Gorzycki Middle,1275,60,5,205,Middle,0.39215686274509803
127,2017-2018,AUSTIN ISD,Garcia Ymla,390,357,390,323,Other,100.0
128,2017-2018,AUSTIN ISD,Sadler Means Ywla,388,359,388,309,Middle,100.0
