,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,name_x,lat_x,lon_x,type_x,name_y,lat_y,lon_y,type_y
0,2014-2015,AUSTIN ISD,Austin High School,2085,599,11,792,High,0.5275779376498801,Austin High School,30.273598,-97.76814,public,Austin High School,30.273598,-97.76814,public
1,2014-2015,AUSTIN ISD,Lanier High School,1619,1386,1619,1220,High,100.0,Lanier High School,30.360209,-97.70832,public,Lanier High School,30.360209,-97.70832,public
2,2014-2015,AUSTIN ISD,Mccallum High School,1648,524,33,677,High,2.0024271844660197,Mccallum High School,30.327484000000002,-97.72887,public,Mccallum High School,30.327484000000002,-97.72887,public
3,2014-2015,AUSTIN ISD,Reagan High School,1229,1012,1229,879,High,100.0,Reagan High School,30.324188,-97.69135,public,Reagan High School,30.324188,-97.69135,public
4,2014-2015,AUSTIN ISD,Travis High School,1329,1138,1329,1019,High,100.0,Travis High School,30.233839,-97.743256,public,Travis High School,30.233839,-97.743256,public
5,2014-2015,AUSTIN ISD,Crockett High School,1498,993,19,847,High,1.2683578104138853,Crockett High School,30.214724,-97.79739000000001,public,Crockett High School,30.214724,-97.79739000000001,public
6,2014-2015,AUSTIN ISD,Anderson High School,2224,594,11,718,High,0.4946043165467626,Anderson High School,30.37575,-97.75371,public,Anderson High School,30.37575,-97.75371,public
7,2014-2015,AUSTIN ISD,Alternative Learning Center,166,134,9,166,High,5.421686746987952,Alternative Learning Center,30.268434999999997,-97.71007,public,Alternative Learning Center,30.268434999999997,-97.71007,public
8,2014-2015,AUSTIN ISD,Bowie High School,2871,408,2,729,High,0.06966213862765587,Bowie High School,30.186369,-97.85873000000001,public,Bowie High School,30.186369,-97.85873000000001,public
9,2014-2015,AUSTIN ISD,Lbj Highigh Schoolchool,853,711,853,572,High,100.0,,,,,,,,
10,2014-2015,AUSTIN ISD,Garza Independence High School,190,79,15,150,High,7.894736842105262,Garza Independence High School,30.277237,-97.72139,public,Garza Independence High School,30.277237,-97.72139,public
11,2014-2015,AUSTIN ISD,Akins High School,2667,1847,11,1555,High,0.4124484439445069,Akins High School,30.148984999999996,-97.80185999999999,public,Akins High School,30.148984999999996,-97.80185999999999,public
12,2014-2015,AUSTIN ISD,Lasa High School,1002,119,0,41,High,0.0,Lasa High School,30.313496,-97.65666999999999,public,Lasa High School,30.313496,-97.65666999999999,public
13,2014-2015,AUSTIN ISD,Eastside Memorial At The Johnston,625,553,625,500,High,100.0,,,,,,,,
14,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
15,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
16,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
17,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
18,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
19,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
20,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
21,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
22,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
23,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
24,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
25,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
26,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
27,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
28,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
29,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
30,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
31,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
32,2014-2015,AUSTIN ISD,Travis County Day School,15,7,0,15,High,0.0,Travis County Day School,30.335696999999996,-97.68336,public,Travis County Day School,30.335696999999996,-97.68336,public
33,2014-2015,AUSTIN ISD,Richards Sch For Young Women Leade,764,451,0,94,High,0.0,,,,,,,,
34,2014-2015,AUSTIN ISD,International High School,368,343,10,356,High,2.717391304347826,International High School,30.257113,-97.68205999999999,public,International High School,30.257113,-97.68205999999999,public
35,2014-2015,AUSTIN ISD,Travis County Juvenile Detention C,58,34,0,58,Other,0.0,,,,,,,,
36,2014-2015,AUSTIN ISD,Phoenix Academy,32,2,0,32,High,0.0,Phoenix Academy,30.24414,-97.75614,public,Phoenix Academy,30.24414,-97.75614,public
37,2014-2015,AUSTIN ISD,Leadership Academy,39,15,0,39,High,0.0,Leadership Academy,30.235638,-97.75366,public,Leadership Academy,30.235638,-97.75366,public
38,2014-2015,AUSTIN ISD,Travis County J J A E P,2,2,2,2,Other,100.0,,,,,,,,
39,2014-2015,AUSTIN ISD,Fulmore Middle School,952,684,952,442,Middle,100.0,Fulmore Middle School,30.243927000000003,-97.750465,public,Fulmore Middle School,30.243927000000003,-97.750465,public
40,2014-2015,AUSTIN ISD,Kealing Middle School,1188,395,1188,262,Middle,100.0,Kealing Middle School,30.270937,-97.72178000000001,public,Kealing Middle School,30.270937,-97.72178000000001,public
41,2014-2015,AUSTIN ISD,Lamar Middle School,895,307,6,289,Middle,0.6703910614525139,Lamar Middle School,30.337774,-97.74058000000001,public,Lamar Middle School,30.337774,-97.74058000000001,public
42,2014-2015,AUSTIN ISD,Burnet Middle School,1138,1056,1138,835,Middle,100.0,Burnet Middle School,30.365074,-97.7256,public,Burnet Middle School,30.365074,-97.7256,public
43,2014-2015,AUSTIN ISD,O Henry Middle School,891,265,2,249,Middle,0.2244668911335578,O Henry Middle School,30.285491999999998,-97.77376,public,O Henry Middle School,30.285491999999998,-97.77376,public
44,2014-2015,AUSTIN ISD,Martin Middle School,555,521,555,417,Middle,100.0,Martin Middle School,30.253086,-97.72986999999999,public,Martin Middle School,30.253086,-97.72986999999999,public
45,2014-2015,AUSTIN ISD,Murchison Middle School,1363,378,7,403,Middle,0.5135730007336757,Murchison Middle School,30.353977,-97.75872,public,Murchison Middle School,30.353977,-97.75872,public
46,2014-2015,AUSTIN ISD,Webb Middle School,691,670,691,524,Middle,100.0,Webb Middle School,30.332413,-97.70740500000001,public,Webb Middle School,30.332413,-97.70740500000001,public
47,2014-2015,AUSTIN ISD,Bedichek Middle School,969,807,969,565,Middle,100.0,Bedichek Middle School,30.196163000000002,-97.78622,public,Bedichek Middle School,30.196163000000002,-97.78622,public
48,2014-2015,AUSTIN ISD,Dobie Middle School,691,633,691,463,Middle,100.0,Dobie Middle School,30.35455,-97.679375,public,Dobie Middle School,30.35455,-97.679375,public
49,2014-2015,AUSTIN ISD,Covington Middle School,634,412,2,319,Middle,0.3154574132492113,Covington Middle School,30.211359,-97.83413,public,Covington Middle School,30.211359,-97.83413,public
50,2014-2015,AUSTIN ISD,Mendez Middle School,842,801,842,642,Middle,100.0,Mendez Middle School,30.188675,-97.74306,public,Mendez Middle School,30.188675,-97.74306,public
51,2014-2015,AUSTIN ISD,Bailey Middle School,917,300,11,311,Middle,1.1995637949836424,Bailey Middle School,30.164225,-97.87241999999999,public,Bailey Middle School,30.164225,-97.87241999999999,public
52,2014-2015,AUSTIN ISD,Small Middle School,1003,323,10,301,Middle,0.9970089730807578,Small Middle School,30.233706,-97.84200000000001,public,Small Middle School,30.233706,-97.84200000000001,public
53,2014-2015,AUSTIN ISD,Paredes Middle School,1032,759,1032,585,Middle,100.0,Paredes Middle School,30.165659,-97.81159,public,Paredes Middle School,30.165659,-97.81159,public
54,2014-2015,AUSTIN ISD,Gorzycki Middle,1330,61,2,148,Middle,0.15037593984962405,,,,,,,,
55,2014-2015,AUSTIN ISD,School For Young Men,391,377,166,290,Other,42.455242966751925,,,,,,,,
56,2014-2015,AUSTIN ISD,Sadler Means Ywla,341,319,166,262,Middle,48.680351906158364,Sadler Means Ywla,30.313578000000003,-97.68073000000001,public,Sadler Means Ywla,30.313578000000003,-97.68073000000001,public
57,2014-2015,AUSTIN ISD,Allison Elementary School,487,466,487,350,Elementary,100.0,Allison Elementary School,30.235784999999996,-97.69203,public,Allison Elementary School,30.235784999999996,-97.69203,public
58,2014-2015,AUSTIN ISD,Andrews Elementary School,657,640,657,562,Elementary,100.0,Andrews Elementary School,30.317553999999998,-97.679665,public,Andrews Elementary School,30.317553999999998,-97.679665,public
59,2014-2015,AUSTIN ISD,Barton Hills Elementary School,419,34,2,77,Elementary,0.47732696897374705,Barton Hills Elementary School,30.254395000000002,-97.78335600000001,public,Barton Hills Elementary School,30.254395000000002,-97.78335600000001,public
60,2014-2015,AUSTIN ISD,Becker Elementary School,344,169,344,154,Elementary,100.0,Becker Elementary School,30.250395,-97.75945,public,Becker Elementary School,30.250395,-97.75945,public
61,2014-2015,AUSTIN ISD,Blackshear Elementary School,276,252,276,167,Elementary,100.0,Blackshear Elementary School,30.266968,-97.72216999999999,public,Blackshear Elementary School,30.266968,-97.72216999999999,public
62,2014-2015,AUSTIN ISD,Blanton Elementary School,542,472,542,405,Elementary,100.0,Blanton Elementary School,30.306929999999998,-97.69063,public,Blanton Elementary School,30.306929999999998,-97.69063,public
63,2014-2015,AUSTIN ISD,Brentwood Elementary School,581,173,2,198,Elementary,0.3442340791738382,Brentwood Elementary School,30.339640000000003,-97.731445,public,Brentwood Elementary School,30.339640000000003,-97.731445,public
64,2014-2015,AUSTIN ISD,Brooke Elementary School,347,317,347,218,Elementary,100.0,Brooke Elementary School,30.254821999999997,-97.70851,public,Brooke Elementary School,30.254821999999997,-97.70851,public
65,2014-2015,AUSTIN ISD,Brown Elementary School,411,392,411,330,Elementary,100.0,Brown Elementary School,30.344769,-97.71034,public,Brown Elementary School,30.344769,-97.71034,public
66,2014-2015,AUSTIN ISD,Bryker Woods Elementary School,393,40,2,67,Elementary,0.5089058524173028,Bryker Woods Elementary School,30.304869,-97.750626,public,Bryker Woods Elementary School,30.304869,-97.750626,public
67,2014-2015,AUSTIN ISD,Campbelementary Schooll Elementary School,253,243,253,149,Elementary,100.0,,,,,,,,
68,2014-2015,AUSTIN ISD,Casis Elementary School,806,23,0,124,Elementary,0.0,Casis Elementary School,30.304344,-97.76505,public,Casis Elementary School,30.304344,-97.76505,public
69,2014-2015,AUSTIN ISD,Cunningham Elementary School,405,278,36,220,Elementary,8.888888888888891,Cunningham Elementary School,30.210476,-97.80581,public,Cunningham Elementary School,30.210476,-97.80581,public
70,2014-2015,AUSTIN ISD,Dawson Elementary School,335,289,335,195,Elementary,100.0,Dawson Elementary School,30.234061999999998,-97.76337,public,Dawson Elementary School,30.234061999999998,-97.76337,public
71,2014-2015,AUSTIN ISD,Daep- Elementary School,10,9,2,10,Elementary,20.0,,,,,,,,
72,2014-2015,AUSTIN ISD,Govalle Elementary School,547,497,547,394,Elementary,100.0,Govalle Elementary School,30.210511999999998,-97.65354,public,Govalle Elementary School,30.210511999999998,-97.65354,public
73,2014-2015,AUSTIN ISD,Gullett Elementary School,557,43,2,75,Elementary,0.3590664272890485,Gullett Elementary School,30.343542,-97.74866999999999,public,Gullett Elementary School,30.343542,-97.74866999999999,public
74,2014-2015,AUSTIN ISD,Harris Elementary School,667,651,667,568,Elementary,100.0,Harris Elementary School,30.314829,-97.690765,public,Harris Elementary School,30.314829,-97.690765,public
75,2014-2015,AUSTIN ISD,Highland Park Elementary School,640,37,0,98,Elementary,0.0,Highland Park Elementary School,30.330692,-97.76005,public,Highland Park Elementary School,30.330692,-97.76005,public
76,2014-2015,AUSTIN ISD,Joslin Elementary School,289,236,289,167,Elementary,100.0,Joslin Elementary School,30.228037,-97.79054000000001,public,Joslin Elementary School,30.228037,-97.79054000000001,public
77,2014-2015,AUSTIN ISD,Lee Elementary School,390,68,2,97,Elementary,0.5128205128205128,Lee Elementary School,30.29305,-97.72763,public,Lee Elementary School,30.29305,-97.72763,public
78,2014-2015,AUSTIN ISD,Maplewood Elementary School,417,192,8,125,Elementary,1.9184652278177456,Maplewood Elementary School,30.293337,-97.714905,public,Maplewood Elementary School,30.293337,-97.714905,public
79,2014-2015,AUSTIN ISD,Mathews Elementary School,410,156,73,131,Elementary,17.804878048780488,Mathews Elementary School,30.278215000000003,-97.760796,public,Mathews Elementary School,30.278215000000003,-97.760796,public
80,2014-2015,AUSTIN ISD,Metz Elementary School,360,324,360,260,Elementary,100.0,Metz Elementary School,30.254284000000002,-97.721725,public,Metz Elementary School,30.254284000000002,-97.721725,public
81,2014-2015,AUSTIN ISD,Oak Springs Elementary School,306,303,306,170,Elementary,100.0,Oak Springs Elementary School,30.271786,-97.70484,public,Oak Springs Elementary School,30.271786,-97.70484,public
82,2014-2015,AUSTIN ISD,Ortega Elementary School,326,308,326,192,Elementary,100.0,Ortega Elementary School,30.269996999999996,-97.68428,public,Ortega Elementary School,30.269996999999996,-97.68428,public
83,2014-2015,AUSTIN ISD,Sanchez Elementary School,436,418,436,363,Elementary,100.0,Sanchez Elementary School,30.257991999999998,-97.735054,public,Sanchez Elementary School,30.257991999999998,-97.735054,public
84,2014-2015,AUSTIN ISD,Pease Elementary School,257,49,2,72,Elementary,0.7782101167315175,Pease Elementary School,30.275290999999996,-97.74803,public,Pease Elementary School,30.275290999999996,-97.74803,public
85,2014-2015,AUSTIN ISD,Pecan Springs Elementary School,452,439,452,336,Elementary,100.0,Pecan Springs Elementary School,30.303139,-97.676315,public,Pecan Springs Elementary School,30.303139,-97.676315,public
86,2014-2015,AUSTIN ISD,Pleasant Hill Elementary School,527,475,527,359,Elementary,100.0,Pleasant Hill Elementary School,30.196213,-97.77649,public,Pleasant Hill Elementary School,30.196213,-97.77649,public
87,2014-2015,AUSTIN ISD,Read Pre-K Demonstration Sch,314,304,2,210,Other,0.6369426751592356,,,,,,,,
88,2014-2015,AUSTIN ISD,Reilly Elementary School,277,249,277,216,Elementary,100.0,Reilly Elementary School,30.327883,-97.71982,public,Reilly Elementary School,30.327883,-97.71982,public
89,2014-2015,AUSTIN ISD,Ridgetop Elementary School,302,135,16,177,Elementary,5.298013245033113,Ridgetop Elementary School,30.311796,-97.716255,public,Ridgetop Elementary School,30.311796,-97.716255,public
90,2014-2015,AUSTIN ISD,St Elementary Schoolmo Elementary School,292,262,292,179,Elementary,100.0,,,,,,,,
91,2014-2015,AUSTIN ISD,Summitt Elementary School,774,271,2,369,Elementary,0.25839793281653745,Summitt Elementary School,30.418608000000003,-97.71907,public,Summitt Elementary School,30.418608000000003,-97.71907,public
92,2014-2015,AUSTIN ISD,Sims Elementary School,228,217,228,139,Elementary,100.0,Sims Elementary School,30.27941,-97.6854,public,Sims Elementary School,30.27941,-97.6854,public
93,2014-2015,AUSTIN ISD,Travis Hts Elementary School,498,363,498,306,Elementary,100.0,,,,,,,,
94,2014-2015,AUSTIN ISD,Walnut Creek Elementary School,661,605,661,554,Elementary,100.0,Walnut Creek Elementary School,30.379194000000002,-97.68413000000001,public,Walnut Creek Elementary School,30.379194000000002,-97.68413000000001,public
95,2014-2015,AUSTIN ISD,Patton Elementary School,945,215,2,346,Elementary,0.21164021164021166,Patton Elementary School,30.2318,-97.84553000000001,public,Patton Elementary School,30.2318,-97.84553000000001,public
96,2014-2015,AUSTIN ISD,Wooten Elementary School,725,683,725,628,Elementary,100.0,Wooten Elementary School,30.352916999999998,-97.71915,public,Wooten Elementary School,30.352916999999998,-97.71915,public
97,2014-2015,AUSTIN ISD,Zavala Elementary School,400,388,400,233,Elementary,100.0,Zavala Elementary School,30.258271999999998,-97.71954000000001,public,Zavala Elementary School,30.258271999999998,-97.71954000000001,public
98,2014-2015,AUSTIN ISD,Zilker Elementary School,567,156,5,150,Elementary,0.8818342151675485,Zilker Elementary School,30.252544,-97.77457,public,Zilker Elementary School,30.252544,-97.77457,public
99,2014-2015,AUSTIN ISD,Menchaca Elementary School,717,354,33,279,Elementary,4.602510460251046,,,,,,,,
100,2014-2015,AUSTIN ISD,Oak Hill Elementary School,803,330,282,366,Elementary,35.118306351183065,Oak Hill Elementary School,30.237990999999997,-97.858765,public,Oak Hill Elementary School,30.237990999999997,-97.858765,public
101,2014-2015,AUSTIN ISD,Barrington Elementary School,588,571,588,477,Elementary,100.0,Barrington Elementary School,30.360529,-97.69606999999999,public,Barrington Elementary School,30.360529,-97.69606999999999,public
102,2014-2015,AUSTIN ISD,Norman Elementary School,299,287,299,183,Elementary,100.0,Norman Elementary School,30.278323999999998,-97.67397,public,Norman Elementary School,30.278323999999998,-97.67397,public
103,2014-2015,AUSTIN ISD,Pillow Elementary School,582,422,139,369,Elementary,23.88316151202749,Pillow Elementary School,30.369263,-97.73339,public,Pillow Elementary School,30.369263,-97.73339,public
104,2014-2015,AUSTIN ISD,Wooldridge Elementary School,572,550,572,497,Elementary,100.0,Wooldridge Elementary School,30.364952000000002,-97.70985,public,Wooldridge Elementary School,30.364952000000002,-97.70985,public
105,2014-2015,AUSTIN ISD,Doss Elementary School,919,120,2,224,Elementary,0.2176278563656148,Doss Elementary School,30.356087,-97.76281,public,Doss Elementary School,30.356087,-97.76281,public
106,2014-2015,AUSTIN ISD,Hill Elementary School,890,82,0,177,Elementary,0.0,Hill Elementary School,30.376625,-97.74854,public,Hill Elementary School,30.376625,-97.74854,public
107,2014-2015,AUSTIN ISD,Odom Elementary School,546,499,546,352,Elementary,100.0,Odom Elementary School,30.20562,-97.78878,public,Odom Elementary School,30.20562,-97.78878,public
108,2014-2015,AUSTIN ISD,Winn Elementary School,338,328,338,261,Elementary,100.0,Winn Elementary School,30.314882,-97.66498,public,Winn Elementary School,30.314882,-97.66498,public
109,2014-2015,AUSTIN ISD,Sunset Valley Elementary School,518,339,123,300,Elementary,23.745173745173744,,,,,,,,
110,2014-2015,AUSTIN ISD,Graham Elementary School,768,674,768,539,Elementary,100.0,Graham Elementary School,30.372359999999997,-97.66886,public,Graham Elementary School,30.372359999999997,-97.66886,public
111,2014-2015,AUSTIN ISD,Linder Elementary School,412,396,412,314,Elementary,100.0,Linder Elementary School,30.224209000000002,-97.73794000000001,public,Linder Elementary School,30.224209000000002,-97.73794000000001,public
112,2014-2015,AUSTIN ISD,Cook Elementary School,643,619,643,556,Elementary,100.0,Cook Elementary School,30.378002000000002,-97.70482,public,Cook Elementary School,30.378002000000002,-97.70482,public
113,2014-2015,AUSTIN ISD,Houston Elementary School,765,743,765,563,Elementary,100.0,Houston Elementary School,30.196468,-97.75506999999999,public,Houston Elementary School,30.196468,-97.75506999999999,public
114,2014-2015,AUSTIN ISD,Hart Elementary School,717,695,717,638,Elementary,100.0,Hart Elementary School,30.342451,-97.68871,public,Hart Elementary School,30.342451,-97.68871,public
115,2014-2015,AUSTIN ISD,Pickle Elementary School,746,725,746,670,Elementary,100.0,Pickle Elementary School,30.333408000000002,-97.693825,public,Pickle Elementary School,30.333408000000002,-97.693825,public
116,2014-2015,AUSTIN ISD,Mcbee Elementary School,531,507,531,451,Elementary,100.0,Mcbee Elementary School,30.38325,-97.69106,public,Mcbee Elementary School,30.38325,-97.69106,public
117,2014-2015,AUSTIN ISD,Williams Elementary School,513,429,513,282,Elementary,100.0,Williams Elementary School,30.180972999999998,-97.79151,public,Williams Elementary School,30.180972999999998,-97.79151,public
118,2014-2015,AUSTIN ISD,Langford Elementary School,741,701,741,587,Elementary,100.0,Langford Elementary School,30.182083000000002,-97.76337,public,Langford Elementary School,30.182083000000002,-97.76337,public
119,2014-2015,AUSTIN ISD,Boone Elementary School,499,219,5,114,Elementary,1.002004008016032,Boone Elementary School,30.203723999999998,-97.840225,public,Boone Elementary School,30.203723999999998,-97.840225,public
120,2014-2015,AUSTIN ISD,Palm Elementary School,516,430,516,327,Elementary,100.0,Palm Elementary School,30.164824,-97.743675,public,Palm Elementary School,30.164824,-97.743675,public
121,2014-2015,AUSTIN ISD,Kocurek Elementary School,539,379,2,258,Elementary,0.3710575139146568,Kocurek Elementary School,30.177746000000003,-97.83525,public,Kocurek Elementary School,30.177746000000003,-97.83525,public
122,2014-2015,AUSTIN ISD,Casey Elementary School,665,451,127,287,Elementary,19.097744360902254,Casey Elementary School,30.177266999999997,-97.81461,public,Casey Elementary School,30.177266999999997,-97.81461,public
123,2014-2015,AUSTIN ISD,Rodriguez Elementary School,793,772,793,633,Elementary,100.0,Rodriguez Elementary School,30.200659,-97.74725,public,Rodriguez Elementary School,30.200659,-97.74725,public
124,2014-2015,AUSTIN ISD,Widen Elementary School,589,559,589,447,Elementary,100.0,Widen Elementary School,30.188713,-97.74008,public,Widen Elementary School,30.188713,-97.74008,public
125,2014-2015,AUSTIN ISD,Galindo Elementary School,591,544,591,429,Elementary,100.0,Galindo Elementary School,30.229516999999998,-97.7719,public,Galindo Elementary School,30.229516999999998,-97.7719,public
126,2014-2015,AUSTIN ISD,Uphaus Early Childhood Center,236,225,236,168,Elementary,100.0,,,,,,,,
