,address,enrollment,gradeRange,gsId,gsRating,lat,level_0,lon,name,ncesId,parentRating,type
0,"1712 East 11th Street, 
Austin, TX  78702",302,PK-5,527,8,30.266968,0.0,-97.72217,Blackshear Elementary School,480894000300,5,public
1,"3309 Kerbey Lane, 
Austin, TX  78703",400,PK-6,532,9,30.304869,1.0,-97.750626,Bryker Woods Elementary School,480894000305,5,public
2,"2710 Exposition Boulevard, 
Austin, TX  78703",793,PK-5,535,10,30.304344,2.0,-97.76505,Casis Elementary School,480894000308,5,public
3,"3808 Maplewood Avenue, 
Austin, TX  78722",480,PK-6,557,4,30.293337,3.0,-97.714905,Maplewood Elementary School,480894000330,5,public
4,"906 West Lynn Street, 
Austin, TX  78703",425,PK-6,559,8,30.278215,4.0,-97.760796,Mathews Elementary School,480894000332,5,public
5,"84 Robert Martinez Junior Street, 
Austin, TX  78702",305,PK-5,562,3,30.254284,5.0,-97.721725,Metz Elementary School,480894000335,5,public
6,"3601 Webberville Road, 
Austin, TX  78702",333,PK-5,567,3,30.271786,6.0,-97.70484,Oak Springs Elementary School,480894000340,5,public
7,"1135 Garland Avenue, 
Austin, TX  78721",316,PK-5,569,5,30.269997,7.0,-97.68428,Ortega Elementary School,480894000342,5,public
8,"1203 Springdale Road, 
Austin, TX  78721",267,PK-6,580,3,30.27941,8.0,-97.6854,Sims Elementary School,480894000356,5,public
9,"310 Robert Martinez Junior Street, 
Austin, TX  78702",350,PK-6,591,4,30.258272,9.0,-97.71954,Zavala Elementary School,480894000368,5,public
10,"5214 Duval Road, 
Austin, TX  78727",798,PK-5,595,6,30.418247,10.0,-97.74218,Davis Elementary School,480894002775,5,public
11,"2117 West 49th Street, 
Austin, TX  78756",263,PK-12,598,,30.320051,11.0,-97.74019,Rosedale,480894005396,5,public
12,"1600 Chicon Street, 
Austin, TX  78702",192,9-12,618,,30.277237,12.0,-97.72139,Garza Independence High School,480894008060,5,public
13,"3301 Pinnacle Road, 
Austin, TX  78746",473,K-5,2201,9,30.269161,13.0,-97.80487,Cedar Creek Elementary School,481776001546,5,public
14,"360 Loop Court, 
Austin, TX  78746",509,K-5,2205,9,30.302923,14.0,-97.83261,Valley View Elementary School,481776005699,5,public
15,"6401 Cedar Street, 
Austin, TX  78746",739,K-5,2208,10,30.340866,15.0,-97.80639,Bridge Point El,481776007742,5,public
16,"3322 Ranch Road 620 South, 
Austin, TX  78738",716,PK-5,4156,9,30.327839,16.0,-97.96536,Lakeway Elementary School,482647002520,5,public
17,"14014 Thermal Drive, 
Austin, TX  78728",540,PK-5,5412,3,30.431906,17.0,-97.67626,Northwest Elementary School,483483006310,5,public
18,"10210 Ember Glen Drive, 
Austin, TX  78726",417,PK-5,5901,10,30.436604,18.0,-97.82424,Canyon Creek Elementary School,483808008087,5,public
19,"1100 West 45th Street, 
Austin, TX  78756",153,1-12,9367,1,30.314978,19.0,-97.73932,Texas School For The Blind,480025209536,5,public
20,"7525 La Crosse Avenue, 
Austin, TX  78739",876,PK-5,10787,10,30.194855,20.0,-97.906334,Clayton Elementary School,480894011061,5,public
21,"11501 Staked Plains Drive, 
Austin, TX  78717",796,PK-5,11215,9,30.497648,21.0,-97.7935,Rutledge Elementary School,482703011113,5,public
22,"900 Neal Street, 
Austin, TX  78702",116,6-12,18841,,30.268435,22.0,-97.71007,Alternative Learning Center,480894009076,5,public
23,"12900 Tierra Grande Trail, 
Austin, TX  78732",784,PK-5,18850,10,30.34612,23.0,-97.91629,River Ridge Elementary School,482703011991,5,public
24,"9700 McNeil Drive, 
Austin, TX  78750",741,6-8,19876,9,30.3975,24.0,-97.829254,Four Points Middle School,482703012381,5,public
25,"601 East Saint Johns Avenue, 
Austin, TX  78752",217,PK-5,20409,3,30.332413,25.0,-97.707405,Webb Primary Center,480894012842,5,public
26,"8403 Mesa Drive, 
Austin, TX  78759",2270,9-12,520,8,30.37575,26.0,-97.75371,Anderson High School,480894000292,4,public
27,"6801 Northeast Drive, 
Austin, TX  78723",657,PK-6,521,4,30.317554,27.0,-97.679665,Andrews Elementary School,480894000293,4,public
28,"1715 West Cesar Chavez Street, 
Austin, TX  78703",2084,9-12,522,7,30.273598,28.0,-97.76814,Austin High School,480894000294,4,public
29,"2108 Barton Hills Drive, 
Austin, TX  78704",407,PK-6,524,9,30.254395,29.0,-97.783356,Barton Hills Elementary School,480894000297,4,public
30,"906 West Milton Street, 
Austin, TX  78704",377,PK-5,525,7,30.250395,30.0,-97.75945,Becker Elementary School,480894000298,4,public
31,"6800 Bill Hughes Road, 
Austin, TX  78745",908,6-8,526,2,30.196163,31.0,-97.78622,Bedichek Middle School,480894000299,4,public
32,"5408 Westminster Drive, 
Austin, TX  78723",479,PK-6,528,5,30.30693,32.0,-97.69063,Blanton Elementary School,480894000301,4,public
33,"6700 Arroyo Seco, 
Austin, TX  78757",617,PK-5,529,7,30.33964,33.0,-97.731445,Brentwood Elementary School,480894000302,4,public
34,"2613 Rogers Avenue, 
Austin, TX  78722",253,PK-5,534,4,30.282291,34.0,-97.71334,Campbell Elementary School,480894000307,4,public
35,"5601 Manchaca Road, 
Austin, TX  78745",1542,9-12,537,4,30.214724,35.0,-97.79739,Crockett High School,480894000310,4,public
36,"2200 Berkeley Avenue, 
Austin, TX  78745",415,PK-5,538,2,30.210476,36.0,-97.80581,Cunningham Elementary School,480894000311,4,public
37,"3001 South 1st Street, 
Austin, TX  78704",382,PK-5,539,6,30.234062,37.0,-97.76337,Dawson Elementary School,480894000312,4,public
38,"7005 Northledge Drive, 
Austin, TX  78731",884,PK-5,541,9,30.356087,38.0,-97.76281,Doss Elementary School,480894000314,4,public
39,"201 East Mary Street, 
Austin, TX  78704",1007,6-8,542,5,30.243927,39.0,-97.750465,Fulmore Middle School,480894000315,4,public
40,"3601 Govalle Ave, Austin, Texas 78702, 
Austin, TX  78617",370,PK-5,543,1,30.210512,40.0,-97.65354,Govalle Elementary School,480894000316,4,public
41,"11211 Tom Adams Drive, 
Austin, TX  78753",697,PK-5,544,8,30.37236,41.0,-97.66886,Graham Elementary School,480894000317,4,public
42,"6310 Treadwell Boulevard, 
Austin, TX  78757",574,PK-5,545,10,30.343542,42.0,-97.74867,Gullett Elementary School,480894000318,4,public
43,"4900 Fairview Drive, 
Austin, TX  78731",622,PK-5,547,9,30.330692,43.0,-97.76005,Highland Park Elementary School,480894000320,4,public
44,"8601 Tallwood Drive, 
Austin, TX  78759",970,PK-5,548,8,30.376625,44.0,-97.74854,Hill Elementary School,480894000321,4,public
45,"5409 Ponciana Drive, 
Austin, TX  78744",705,PK-5,549,3,30.196468,45.0,-97.75507,Houston Elementary School,480894000322,4,public
46,"4500 Manchaca Road, 
Austin, TX  78745",289,PK-5,552,4,30.228037,46.0,-97.79054,Joslin Elementary School,480894000325,4,public
47,"6201 Wynona Avenue, 
Austin, TX  78757",895,6-8,553,7,30.337774,47.0,-97.74058,Lamar Middle School,480894000326,4,public
48,"1201 Payton Gin Road, 
Austin, TX  78758",1615,9-12,554,3,30.360209,48.0,-97.70832,Lanier High School,480894000327,4,public
49,"3308 Hampton Road, 
Austin, TX  78705",375,PK-6,555,8,30.29305,49.0,-97.72763,Lee Elementary School,480894000328,4,public
50,"5600 Sunshine Drive, 
Austin, TX  78756",1738,9-12,560,7,30.327484,50.0,-97.72887,Mccallum High School,480894000333,4,public
51,"3700 North Hills Drive, 
Austin, TX  78731",1365,6-8,563,7,30.353977,51.0,-97.75872,Murchison Middle School,480894000336,4,public
52,"2610 West 10th Street, 
Austin, TX  78703",931,6-8,565,6,30.285492,52.0,-97.77376,O Henry Middle School,480894000338,4,public
53,"6101 Patton Ranch Road, 
Austin, TX  78735",871,PK-5,566,6,30.237991,53.0,-97.858765,Oak Hill Elementary School,480894000339,4,public
54,"1106 Rio Grande Street, 
Austin, TX  78701",260,PK-6,571,7,30.275291,54.0,-97.74803,Pease Elementary School,480894000344,4,public
55,"3025 Crosscreek Drive, 
Austin, TX  78757",518,PK-5,573,4,30.369263,55.0,-97.73339,Pillow Elementary School,480894000346,4,public
56,"7104 Berkman Drive, 
Austin, TX  78752",1302,9-12,576,3,30.324188,56.0,-97.69135,Reagan High School,480894000350,4,public
57,"405 Denson Drive, 
Austin, TX  78752",274,PK-5,577,7,30.327883,57.0,-97.71982,Reilly Elementary School,480894000351,4,public
58,"5005 Caswell Avenue, 
Austin, TX  78751",292,PK-5,578,5,30.311796,58.0,-97.716255,Ridgetop Elementary School,480894000352,4,public
59,"600 West Saint Elmo Road, 
Austin, TX  78745",295,PK-5,581,6,30.222063,59.0,-97.77338,St Elmo El,480894000357,4,public
60,"12207 Brigadoon Lane, 
Austin, TX  78727",815,PK-5,582,8,30.418608,60.0,-97.71907,Summitt Elementary School,480894000358,4,public
61,"1211 East Oltorf Street, 
Austin, TX  78704",1291,9-12,584,3,30.233839,61.0,-97.743256,Travis High School,480894000360,4,public
62,"401 West Braker Lane, 
Austin, TX  78753",634,PK-6,586,3,30.379194,62.0,-97.68413,Walnut Creek Elementary School,480894000362,4,public
63,"1412 Norseman Terrace, 
Austin, TX  78758",630,PK-5,589,5,30.364952,63.0,-97.70985,Wooldridge Elementary School,480894000366,4,public
64,"1900 Bluebonnet Lane, 
Austin, TX  78704",538,PK-6,592,7,30.252544,64.0,-97.77457,Zilker Elementary School,480894000369,4,public
65,"601 East Saint Johns Avenue, 
Austin, TX  78752",699,6-8,593,2,30.332413,65.0,-97.707405,Webb Middle School,480894002468,4,public
66,"5913 La Crosse Avenue, 
Austin, TX  78739",998,PK-5,596,10,30.191557,66.0,-97.881256,Kiker Elementary School,480894002776,4,public
67,"4900 Gonzales Street, 
Austin, TX  78702",,PK-5,597,,30.255674,67.0,-97.69715,Allan Elementary School,480894005394,4,public
68,"6001 Westcreek Drive, 
Austin, TX  78749",973,PK-5,604,6,30.2318,68.0,-97.84553,Patton Elementary School,480894006070,4,public
69,"1607 Pennsylvania Avenue, 
Austin, TX  78702",1203,6-8,605,8,30.270937,69.0,-97.72178,Kealing Middle School,480894006207,4,public
70,"3700 Convict Hill Road, 
Austin, TX  78749",634,6-8,606,5,30.211359,70.0,-97.83413,Covington Middle School,480894006208,4,public
71,"5106 Village Square Drive, 
Austin, TX  78744",790,6-8,607,1,30.188675,71.0,-97.74306,Mendez Middle School,480894006209,4,public
72,"8101 Croftwood Drive, 
Austin, TX  78749",573,PK-5,608,8,30.203724,72.0,-97.840225,Boone Elementary School,480894006210,4,public
73,"9800 Curlew Drive, 
Austin, TX  78748",544,PK-5,610,4,30.177746,73.0,-97.83525,Kocurek Elementary School,480894006212,4,public
74,"4103 West Slaughter Lane, 
Austin, TX  78749",2912,9-12,613,9,30.186369,74.0,-97.85873,Bowie High School,480894006508,4,public
75,"6201 Davis Lane, 
Austin, TX  78749",812,PK-5,620,9,30.210917,75.0,-97.8782,Mills Elementary School,480894008062,4,public
76,"7014 Elroy Road, 
Austin, TX  78617",775,PK-5,2032,3,30.157845,76.0,-97.64396,Popham Elementary School,481662001426,4,public
77,"6910 East William Cannon Drive, 
Austin, TX  78744",599,PK-5,2034,2,30.16541,77.0,-97.729095,Hillcrest Elementary School,481662005695,4,public
78,"1300 Walsh Tarlton Lane, 
Austin, TX  78746",1057,6-8,2203,10,30.27101,78.0,-97.80366,Hill Country Middle School,481776001548,4,public
79,"4100 Westbank Drive, 
Austin, TX  78746",2584,7-12,2204,9,30.275679,79.0,-97.81373,Westlake High School,481776001549,4,public
80,"9201 Scenic Bluff Drive, 
Austin, TX  78733",946,6-8,2207,10,30.302864,80.0,-97.88434,West Ridge Middle School,481776006398,4,public
81,"1370 Patterson Road, 
Austin, TX  78733",505,K-5,2209,10,30.303408,81.0,-97.87958,Barton Creek Elementary School,481776021527,4,public
82,"P O Box 4929, 
Austin, TX  78734",526,PK-3,4147,7,30.385658,82.0,-97.95364,Lago Vista Elementary School,482640002972,4,public
83,"3322 Ranch Road 620 South, 
Austin, TX  78738",888,PK-5,4157,8,30.327839,83.0,-97.96536,Lake Travis Elementary School,482647005762,4,public
84,"4001 North Quinlan Park Road, 
Austin, TX  78732",632,PK-5,4260,9,30.379328,84.0,-97.88424,Steiner Ranch Elementary School,482703007498,4,public
85,"1501 Dessau Ridge Lane, 
Austin, TX  78754",510,3-5,5413,5,30.401651,85.0,-97.643936,Dessau Elementary School,483483006463,4,public
86,"13212 North Lamar Boulevard, 
Austin, TX  78753",1901,9-12,5420,4,30.41821,86.0,-97.676346,John B Connally High School,483483007467,4,public
87,"12135 Thompkins Drive, 
Austin, TX  78753",468,PK-5,5424,6,30.388332,87.0,-97.65998,Copperfield Elementary School,483483008065,4,public
88,"6720 Corpus Christi Drive, 
Austin, TX  78729",489,PK-5,5868,6,30.444317,88.0,-97.750755,Jollyville Elementary School,483808002306,4,public
89,"13414 Broadmeade Avenue, 
Austin, TX  78729",404,PK-5,5872,5,30.470728,89.0,-97.78183,Forest North Elementary School,483808004250,4,public
90,"11104 Oak View Drive, 
Austin, TX  78759",739,PK-5,5874,8,30.419579,90.0,-97.7696,Kathy Caraway Elementary School,483808004252,4,public
91,"11601 Olson Drive, 
Austin, TX  78750",808,K-5,5877,10,30.444965,91.0,-97.80434,Spicewood Elementary School,483808004257,4,public
92,"8139 Racine Trail, 
Austin, TX  78717",1368,6-8,5880,10,30.492628,92.0,-97.73422,Cedar Valley Middle School,483808005611,4,public
93,"11801 Tanglebriar Trail, 
Austin, TX  78750",345,PK-5,5883,6,30.457247,93.0,-97.82031,Purple Sage Elementary School,483808005804,4,public
94,"12400 Mellow Meadow Drive, 
Austin, TX  78750",2709,9-12,5884,9,30.456322,94.0,-97.7977,Westwood High School,483808005805,4,public
95,"8455 Spicewood Springs Road, 
Austin, TX  78759",1398,6-8,5885,10,30.428354,95.0,-97.78429,Canyon Vista Middle School,483808006034,4,public
96,"14650 Merrilltown Drive, 
Austin, TX  78728",951,PK-5,5886,4,30.44641,96.0,-97.68799,Wells Branch Elementary School,483808006166,4,public
97,"10111 D-K Ranch Road, 
Austin, TX  78759",800,PK-5,5887,10,30.413939,97.0,-97.78091,Laurel Mountain Elementary School,483808006167,4,public
98,"7825 Elkhorn Mountain Trail, 
Austin, TX  78729",640,PK-5,5888,5,30.446201,98.0,-97.76417,Pond Springs Elementary School,483808006314,4,public
99,"5720 McNeil Drive, 
Austin, TX  78729",2625,9-12,5891,7,30.448587,99.0,-97.73333,Mcneil High School,483808006469,4,public
100,"8607 Anderson Mill Road, 
Austin, TX  78729",580,PK-5,5892,6,30.45348,100.0,-97.771126,Live Oak Elementary School,483808006470,4,public
101,"8849 Anderson Mill Road, 
Austin, TX  78729",899,6-8,5894,6,30.452366,101.0,-97.77288,Deerpark Middle School,483808006606,4,public
102,"12601 Country Trails Lane, 
Austin, TX  78732",1284,6-8,10132,10,30.365335,102.0,-97.90305,Canyon Ridge Middle School,482703011110,4,public
103,"4801 Monterey Oaks Boulevard, 
Austin, TX  78749",1006,6-8,8615,5,30.233706,103.0,-97.842,Small Middle School,480894008390,4,public
104,"9400 Texas Oaks Drive, 
Austin, TX  78748",625,PK-5,8616,4,30.177267,104.0,-97.81461,Casey Elementary School,480894008391,4,public
105,"12009 Buckingham Gate Road, 
Austin, TX  78748",984,PK-5,8618,9,30.153902,105.0,-97.852165,Baranoff Elementary School,480894008393,4,public
106,"3322 Ranch Road 620 South, 
Austin, TX  78738",623,PK-5,8717,8,30.328274,106.0,-97.97106,Bee Cave Elementary School,482647008395,4,public
107,"8500 Decker Lane, 
Austin, TX  78724",507,K-5,8733,4,30.311619,107.0,-97.6169,Decker Elementary School,482889008394,4,public
108,"4900 McKinney Falls Parkway, 
Austin, TX  78744",886,6-8,9117,2,30.190788,108.0,-97.71197,John P Ojeda J High School,481662009527,4,public
109,"12600 Country Trails Lane, 
Austin, TX  78732",835,PK-5,9128,10,30.366116,109.0,-97.89997,Laura Welch Bush Elementary School,482703009440,4,public
110,"16200 Avery Ranch Boulevard, 
Austin, TX  78717",1073,PK-5,9133,10,30.504526,110.0,-97.75202,Patsy Sommer Elementary School,483808011104,4,public
111,"2817 Kentish Drive, 
Austin, TX  78748",790,PK-5,9146,9,30.188688,111.0,-97.83348,Cowan Elementary School,480894008940,4,public
112,"1102 South Congress Avenue, 
Austin, TX  78704",538,PK-12,9369,1,30.253044,112.0,-97.75117,Texas School For The Deaf,480025309537,4,public
113,"3322 Ranch Road 620 South, 
Austin, TX  78738",1096,6-8,9471,9,30.327839,113.0,-97.96536,Hudson Bend Middle School,482647008945,4,public
114,"2901 N. IH35, 
Austin, TX  78713",600,9-12,9657,,30.28,114.0,-97.74,University of Texas at Austin High School,,4,public
115,"601 Camp Craft Road, 
Austin, TX  78746",,9-12,9661,,30.278156,115.0,-97.81645,Westlake Alternative School,481776009079,4,public
116,"10701 South 1st Street, 
Austin, TX  78748",2713,9-12,9663,4,30.148985,116.0,-97.80186,Akins High School,480894008937,4,public
117,"3322 Ranch Road 620 South, 
Austin, TX  78738",717,PK-5,9933,10,30.327839,117.0,-97.96536,Lake Pointe Elementary School,482647009414,4,public
118,"12900 Dessau Road, 
Austin, TX  78754",601,PK-2,9931,,30.397984,118.0,-97.64358,Delco Primary School,483483009411,4,public
119,"12200 Meridian Park Boulevard, 
Austin, TX  78739",787,PK-5,10790,8,30.18489,119.0,-97.923454,Baldwin Elementary School,480894011064,4,public
120,"7201 Colony Loop Drive, 
Austin, TX  78724",718,PK-6,10792,4,30.300186,120.0,-97.6367,Overton Elementary School,480894011066,4,public
121,"7500 South Pleasant Valley Road, 
Austin, TX  78744",752,PK-5,10795,4,30.17085,121.0,-97.75624,Perez Elementary School,480894011067,4,public
122,"2206 Prather Lane, 
Austin, TX  78704",787,6-12,11838,9,30.236443,122.0,-97.788284,Richards School For Young Women Leade,480894011354,4,public
123,"5604 Farm to Market Road 1327, 
Austin, TX  78747",721,PK-5,11843,3,30.090845,123.0,-97.72035,Creedmoor Elementary School,481662011360,4,public
124,"6500 Sitio Del Rio Boulevard, 
Austin, TX  78730",768,PK-5,11937,8,30.38982,124.0,-97.84521,River Place Elementary School,482703011528,4,public
125,"12024 Vista Parke Drive, 
Austin, TX  78726",464,PK-5,11938,6,30.415436,125.0,-97.85333,Grandview Hills Elementary School,482703011434,4,public
126,"3322 Ranch Road 620 South, 
Austin, TX  78738",769,PK-5,11956,9,30.327839,126.0,-97.96536,Serene Hills Elementary School,482647011479,4,public
127,"7309 Lazy Creek Drive, 
Austin, TX  78724",874,9-12,12100,2,30.313496,127.0,-97.65667,Lbj High School,480894011844,4,public
128,"7309 Lazy Creek Drive, 
Austin, TX  78724",1016,9-12,12101,10,30.313496,128.0,-97.65667,Lasa High School,480894011930,4,public
129,"1012 Arthur Stiles Road, 
Austin, TX  78721",560,9-12,18848,2,30.257113,129.0,-97.68206,Eastside Memorial High School,480894012013,4,public
130,"11300 Samsung Boulevard, 
Austin, TX  78754",692,PK-5,18849,6,30.362078,130.0,-97.63998,Pioneer Crossing Elementary School,482889011988,4,public
131,"9500 McNeil Drive, 
Austin, TX  78750",2257,9-12,19335,8,30.397078,131.0,-97.824104,Vandegrift High School,482703012156,4,public
132,"8801 Pearson Ranch Road, 
Austin, TX  78717",903,PK-5,19534,10,30.49369,132.0,-97.750725,Elsa England Elementary School,483808012358,4,public
133,"515 Vargas Road, 
Austin, TX  78741",545,PK-6,519,7,30.235785,133.0,-97.69203,Allison Elementary School,480894000291,3,public
134,"400 Cooper Drive, 
Austin, TX  78753",627,PK-6,523,4,30.360529,134.0,-97.69607,Barrington Elementary School,480894000296,3,public
135,"3100 East 4th Street, 
Austin, TX  78702",254,PK-5,530,3,30.254822,135.0,-97.70851,Brooke Elementary School,480894000303,3,public
136,"505 West Anderson Lane, 
Austin, TX  78752",358,PK-6,531,4,30.344769,136.0,-97.71034,Brown Elementary School,480894000304,3,public
137,"8401 Hathaway Drive, 
Austin, TX  78757",1020,6-8,533,2,30.365074,137.0,-97.7256,Burnet Middle School,480894000306,3,public
138,"1511 Cripple Creek Drive, 
Austin, TX  78758",553,PK-5,536,5,30.378002,138.0,-97.70482,Cook Elementary School,480894000309,3,public
139,"1200 East Rundberg Lane, 
Austin, TX  78753",579,6-8,540,3,30.35455,139.0,-97.679375,Dobie Middle School,480894000313,3,public
140,"1711 Wheless Lane, 
Austin, TX  78723",629,PK-6,546,4,30.314829,140.0,-97.690765,Harris Elementary School,480894000319,3,public
141,"2800 Metcalfe Road, 
Austin, TX  78741",364,1-5,556,3,30.224209,141.0,-97.73794,Linder Elementary School,480894000329,3,public
142,"1601 Haskell Street, 
Austin, TX  78702",456,6-8,558,1,30.253086,142.0,-97.72987,Martin Middle School,480894000331,3,public
143,"4001 Tannehill Lane, 
Austin, TX  78721",319,PK-6,564,6,30.278324,143.0,-97.67397,Norman Elementary School,480894000337,3,public
144,"1010 Turtle Creek Boulevard, 
Austin, TX  78745",542,PK-5,568,6,30.20562,144.0,-97.78878,Odom Elementary School,480894000341,3,public
145,"3100 Rogge Lane, 
Austin, TX  78723",464,PK-6,572,5,30.303139,145.0,-97.676315,Pecan Springs Elementary School,480894000345,3,public
146,"6405 Circle South Road, 
Austin, TX  78745",566,PK-5,574,5,30.196213,146.0,-97.77649,Pleasant Hill Elementary School,480894000347,3,public
147,"73 San Marcos Street, 
Austin, TX  78702",407,PK-5,579,5,30.257992,147.0,-97.735054,Sanchez Elementary School,480894000355,3,public
